"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"188",61.66,62.360001,61.650002,62.259998,1853200,62.055011
"189",61.48,61.720001,60.5,60.5,1601400,60.300807
"190",60.400002,61.080002,60.279999,60.990002,1867900,60.789196
"191",61.419998,62.419998,61.349998,62.360001,1088800,62.154684
"192",62.040001,62.43,61.060001,61.73,1301900,61.526757
"193",62.119999,62.700001,62.119999,62.529999,1188200,62.324122
"194",62.43,62.790001,62.150002,62.57,1054900,62.363992
"195",62.25,63.939999,61.889999,63.740002,2135500,63.530141
"196",63.490002,63.73,62.5,62.59,1310000,62.383926
"197",63.07,63.84,62.580002,63.610001,2828500,63.400568
"198",63.98,64.260002,63.560001,63.75,1667100,63.540107
"199",64.029999,64.349998,63.75,64.110001,1611000,63.898922
"200",64.059998,64.160004,62.610001,62.630001,1216500,62.423795
"201",62.599998,63.169998,62.16,62.32,1654400,62.114815
"202",62,62.259998,61.509998,62.169998,1277600,61.965307
"203",62.48,63.599998,62.240002,63.450001,1019700,63.241095
"204",63.130001,63.599998,62.98,63.139999,1580200,62.932115
"205",63.009998,63.150002,61.689999,61.900002,1332800,61.696199
"206",61.900002,62.279999,60.779999,61.200001,2632700,60.998503
"207",60.68,62.389999,60.5,62.049999,1532400,61.845703
"208",61.959999,62.310001,61.740002,62.150002,1261100,61.945376
"209",62.349998,62.77,62.07,62.759998,1535700,62.553365
"210",62.470001,63.23,62.470001,63.189999,1690800,62.981949
"211",63.18,63.580002,63.060001,63.240002,1125500,63.031788
"212",63.130001,63.360001,62.66,62.799999,1180200,62.593234
"213",62.580002,63.5,62.349998,63.279999,1312700,63.071653
"214",63.450001,64.519997,63.200001,64.190002,1790800,63.978661
"215",64.029999,64.239998,63.619999,63.950001,1039900,63.739449
"216",63.27,63.48,62.369999,62.77,1553200,62.563334
"217",63.450001,64.120003,63.290001,63.880001,1660700,63.66968
"218",65.879997,66.860001,64.099998,66.720001,4606600,66.50033
"219",67.260002,68.440002,66.830002,67.410004,3673800,67.18806
"220",67.260002,67.389999,66.459999,66.489998,2254800,66.271083
"221",66.660004,66.720001,66,66.139999,1747800,65.922237
"222",66.589996,66.870003,66.209999,66.489998,2181100,66.271083
"223",66.160004,66.940002,66.010002,66.900002,1716500,66.679737
"224",66.910004,67,65.949997,66.260002,1363800,66.041845
"225",65.790001,66.209999,64.970001,65.349998,1962900,65.134837
"226",65.400002,65.809998,65.230003,65.57,1814500,65.354114
"227",65.800003,66.470001,65.800003,66.059998,1465300,65.842499
"228",65.730003,66.089996,65.019997,65.129997,1641400,64.915561
"229",65.449997,65.459999,64.379997,64.82,1348600,64.606584
"230",64.82,65.849998,64.309998,65.690002,1820800,65.473722
"231",66.25,66.690002,66.010002,66.489998,1789400,66.271083
"232",66.330002,67.019997,66.150002,66.75,1571800,66.53023
"233",66.440002,66.559998,65.699997,66.099998,1089200,65.882368
"234",66.080002,66.739998,65.940002,66.57,1306000,66.350822
"235",67.029999,67.169998,66.610001,66.82,1456800,66.599999
"236",66.919998,66.949997,65.900002,66.449997,1210300,66.449997
"237",66.120003,66.639999,65.360001,65.769997,1597300,65.769997
"238",65.760002,65.980003,65.07,65.540001,1026800,65.540001
"239",65.459999,65.699997,65.089996,65.389999,770900,65.389999
"240",65.260002,65.68,65.089996,65.540001,801400,65.540001
"241",65.470001,65.989998,65.400002,65.769997,1225000,65.769997
"242",65.720001,65.75,64.800003,65.410004,2098800,65.410004
"243",65.629997,66.739998,65.43,66.199997,1536100,66.199997
"244",66.169998,66.199997,64.959999,65.169998,1135300,65.169998
"245",64.910004,65.190002,63.419998,63.560001,2379700,63.560001
"246",64.230003,64.57,63.189999,64.059998,1498800,64.059998
"247",64,64.860001,63.759998,64.589996,1748000,64.589996
"248",64.720001,65.07,64.290001,64.489998,1128800,64.489998
"249",64.07,64.339996,63.59,63.82,1015500,63.82
"250",63.68,63.900002,63.16,63.529999,1007300,63.529999
"251",63.48,63.720001,63.349998,63.349998,912200,63.349998
"252",63.41,64.379997,63.380001,63.759998,1107600,63.759998
"253",64,65.25,64,65.040001,1499200,65.040001
