"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"142",57.540001,58.029999,57.360001,57.439999,598700,57.439999
"143",57.720001,57.900002,56.950001,57,533600,57
"144",57.23,57.400002,56.57,57.189999,684500,57.189999
"145",56.669998,56.98,55.900002,56.240002,874400,56.240002
"146",56.169998,56.389999,54.759998,55.18,1289300,55.18
"147",55.419998,55.93,55.18,55.639999,552400,55.639999
"148",55.889999,56.959999,55.630001,56.880001,1282600,56.880001
"149",57.060001,57.919998,56.849998,57.34,1097000,57.34
"150",57.34,57.639999,56.48,56.77,762300,56.77
"151",57.290001,57.880001,56.32,56.810001,631800,56.810001
"152",56.099998,56.720001,55.790001,56.27,527000,56.27
"153",56.549999,56.77,55.560001,55.57,470300,55.57
"154",55.669998,56.77,55.580002,56.66,802600,56.66
"155",56.759998,56.970001,55.619999,56.16,856600,56.16
"156",55.889999,56.639999,55.68,56.369999,854000,56.369999
"157",55.240002,56.43,54.950001,56.200001,1515000,56.200001
"158",56.040001,57.91,56.029999,56.810001,940700,56.810001
"159",55.68,56.580002,54.130001,55.810001,2158000,55.810001
"160",55.060001,55.610001,54.189999,54.849998,1148700,54.849998
"161",55.349998,55.59,54.27,54.299999,1048700,54.299999
"162",54.27,54.82,53.700001,54.689999,815400,54.689999
"163",54.450001,55.209999,54.150002,54.48,1317500,54.48
"164",54.470001,55.299999,53.48,55.209999,1016000,55.209999
"165",55.630001,57.73,55.34,57.34,1831000,57.34
"166",57.310001,58.16,56.669998,56.880001,1686200,56.880001
"167",57,57.450001,56.68,56.950001,1601700,56.950001
"168",58.439999,61.380001,57.18,59.970001,3667300,59.970001
"169",59.869999,61.040001,59.279999,60.59,1623200,60.59
"170",61.099998,61.099998,60.310001,60.880001,1400300,60.880001
"171",60.98,61.130001,60.630001,60.98,834200,60.98
"172",61.580002,62.189999,61.349998,61.720001,1226500,61.720001
"173",61.700001,62.48,61.529999,62.150002,1108300,62.150002
"174",62.18,62.52,62,62.16,1079900,62.16
"175",62.389999,62.880001,62.02,62.599998,1135200,62.599998
"176",62.490002,63.610001,62.360001,63.52,1381400,63.52
"177",63.23,63.880001,63.02,63.869999,1045400,63.869999
"178",63.400002,63.700001,63.32,63.610001,1103900,63.610001
"179",63.299999,64.230003,63.189999,64.059998,1144800,64.059998
"180",63.990002,64.459999,63.990002,64.400002,984700,64.400002
"181",64.550003,64.949997,64.199997,64.830002,872200,64.830002
"182",64.599998,64.900002,63.970001,64.019997,1097100,64.019997
"183",64.040001,64.580002,63.790001,64.580002,763600,64.580002
"184",64.209999,64.470001,63.91,63.959999,883200,63.959999
"185",63.48,64.309998,63.23,63.700001,893100,63.700001
"186",63.720001,64.459999,63.689999,64.389999,1011700,64.389999
"187",64.169998,64.5,63.860001,63.919998,1305200,63.919998
"188",64.160004,64.489998,63.959999,64.330002,637300,64.330002
"189",63.84,63.950001,62.779999,62.779999,892000,62.779999
"190",63.330002,63.389999,62.610001,63.209999,698100,63.209999
"191",63.009998,64.080002,63.009998,63.810001,1019600,63.810001
"192",63.720001,64.07,63.509998,63.630001,597900,63.630001
"193",63.939999,64.190002,63.639999,64.050003,569500,64.050003
"194",63.759998,64.169998,63.529999,63.98,577200,63.98
"195",63.73,65.489998,63.700001,64.989998,870500,64.989998
"196",64.959999,65.440002,64.269997,64.269997,910200,64.269997
"197",64.589996,65.669998,64.589996,64.75,1824500,64.75
"198",64.93,66.059998,64.629997,65.989998,837500,65.989998
"199",65.989998,66.809998,65.699997,66.290001,950000,66.290001
"200",66.220001,66.5,65.080002,65.129997,1274600,65.129997
"201",64.800003,65.370003,64.160004,64.919998,923700,64.919998
"202",65.220001,66.779999,64.919998,66.300003,1138100,66.300003
"203",66.550003,67.029999,66.339996,66.989998,716100,66.989998
"204",66.800003,67.5,66.300003,66.970001,915800,66.970001
"205",66.690002,67.169998,66.019997,66.57,786300,66.57
"206",66.669998,66.849998,66.25,66.690002,1206200,66.690002
"207",66.120003,67.099998,65.669998,66.599998,714300,66.599998
"208",66.5,67.129997,66.199997,66.519997,590300,66.519997
"209",66.43,67.239998,66.260002,67.230003,1652400,67.230003
"210",67.18,67.790001,66.709999,67.519997,470800,67.519997
"211",67.610001,67.93,67.18,67.75,645100,67.75
"212",67.690002,67.959999,67.449997,67.519997,781700,67.519997
"213",67.389999,67.919998,66.860001,67.580002,4184000,67.580002
"214",68.010002,68.230003,67.43,67.699997,958800,67.699997
"215",67.599998,67.889999,67.25,67.870003,591800,67.870003
"216",67.360001,67.580002,65.790001,66.059998,1046000,66.059998
"217",66.309998,66.639999,66.239998,66.489998,1056400,66.489998
"218",66.940002,67.169998,66.449997,67.059998,1231100,67.059998
"219",67.620003,67.660004,66.599998,67.230003,543000,67.230003
"220",67.199997,68.25,67.029999,67.730003,1027700,67.730003
"221",65.019997,66.629997,62.619999,65.040001,4066900,65.040001
"222",65.080002,65.440002,64.269997,64.419998,937100,64.419998
"223",64.470001,65.110001,64.190002,64.709999,776700,64.709999
"224",64.190002,64.809998,63.91,64.139999,823000,64.139999
"225",63.68,64.440002,63.130001,63.509998,1326800,63.509998
"226",63.900002,64.309998,63.529999,64.150002,1087300,64.150002
"227",64.150002,64.889999,64.089996,64.419998,973100,64.419998
"228",64.089996,64.370003,62.68,62.849998,1753300,62.849998
"229",63.080002,63.709999,62.720001,63.34,1047100,63.34
"230",63.470001,64.190002,63.299999,63.560001,801000,63.560001
"231",64.139999,64.43,63.849998,63.900002,986700,63.900002
"232",63.959999,64.489998,63.580002,63.599998,1246200,63.599998
"233",63.110001,63.919998,62.849998,63.669998,674000,63.669998
"234",63.68,64.220001,63.459999,63.849998,637300,63.849998
"235",64.360001,64.400002,63.950001,64.120003,1305600,64.120003
"236",64.25,64.709999,63.599998,64.089996,886500,64.089996
"237",63.93,64.739998,63.869999,64.57,596500,64.57
"238",64.610001,64.839996,64.139999,64.309998,460400,64.309998
"239",64.279999,64.669998,63.950001,64.239998,464800,64.239998
"240",64.089996,64.599998,64.050003,64.510002,593900,64.510002
"241",64.57,64.730003,64.230003,64.519997,587400,64.519997
"242",64.449997,64.519997,63.419998,63.509998,831300,63.509998
"243",63.509998,64.610001,63.23,64.480003,1488900,64.480003
"244",64.150002,64.599998,63.630001,63.66,998300,63.66
"245",63.66,64.169998,63.02,63.189999,1511900,63.189999
"246",63.619999,63.810001,62.77,63.259998,682900,63.259998
"247",62.950001,63.189999,61.759998,62.310001,1147200,62.310001
"248",62.43,63.27,62.169998,62.98,987200,62.98
"249",62.75,63.59,62.650002,62.720001,946100,62.720001
"250",62.759998,63.080002,62.470001,62.650002,600800,62.650002
"251",62.720001,62.779999,61.990002,62.009998,626700,62.009998
"252",61.919998,62.279999,61.5,61.540001,643500,61.540001
"253",61.900002,63.23,61.639999,62.810001,910000,62.810001
