"","YHOO.Open","YHOO.High","YHOO.Low","YHOO.Close","YHOO.Volume","YHOO.Adjusted"
"210",45.700001,46.169998,45.16,45.630001,13678000,45.630001
"211",45.790001,45.790001,45,45.18,8436400,45.18
"212",45.25,45.59,44.720001,44.77,8837300,44.77
"213",44.82,45.639999,44.790001,45.529999,12365800,45.529999
"214",45.459999,45.830002,45.23,45.73,15039600,45.73
"215",45.82,46.130001,45.529999,45.779999,13833100,45.779999
"216",45.299999,45.439999,44.25,44.450001,13591600,44.450001
"217",44.73,44.91,44.41,44.66,10228700,44.66
"218",45.150002,45.18,44.450001,44.490002,18617900,44.490002
"219",44.580002,44.849998,43.669998,43.98,32284300,43.98
"220",43.919998,44.060001,43.580002,43.700001,14298900,43.700001
"221",43.73,44.709999,43.689999,44.52,11281100,44.52
"222",44.650002,45.099998,44.25,44.360001,10855400,44.360001
"223",44.34,44.57,43.939999,44.34,7197100,44.34
"224",43.880001,44.049999,43.09,43.279999,12712600,43.279999
"225",43.119999,43.310001,42.259998,42.57,14257900,42.57
"226",42.549999,42.68,42.09,42.509998,10457300,42.509998
"227",42.5,42.549999,41.830002,42.040001,14455200,42.040001
"228",41.860001,42,40.810001,41.299999,19278500,41.299999
"229",41.310001,41.73,41.209999,41.66,13921000,41.66
"230",44.93,44.98,43.549999,43.869999,28194200,43.869999
"231",44.34,44.549999,44,44.09,15699400,44.09
"232",43.82,44.139999,43.59,43.599998,11502600,43.599998
"233",44.299999,44.310001,43.689999,43.84,14226300,43.84
"234",44.029999,44.669998,43.98,44.400002,10982100,44.400002
"235",44.529999,44.990002,44.450001,44.950001,10098100,44.950001
"236",45,45.07,44.689999,44.75,7751900,44.75
"237",44.52,44.57,44.040001,44.360001,8278800,44.360001
"238",44.380001,44.66,39.119999,40.98,41283000,40.98
"239",42.279999,43.040001,42.16,42.790001,54383700,42.790001
"240",43.060001,43.869999,43.049999,43.68,30372300,43.68
"241",43.580002,44,43.470001,43.490002,10271700,43.490002
"242",43.41,43.5,42.580002,42.849998,12776200,42.849998
"243",42.599998,43.439999,42.279999,43.380001,13671900,43.380001
"244",43.060001,43.419998,42.93,43.07,10988400,43.07
"245",43.450001,43.59,42.810001,42.939999,10901500,42.939999
"246",43.049999,43.630001,42.91,43.349998,11150700,43.349998
"247",43.18,43.619999,42.919998,43.150002,8863900,43.150002
"248",43.299999,43.779999,42.98,43.209999,11884100,43.209999
"249",43.09,43.439999,42.759998,42.880001,8055400,42.880001
"250",42.830002,43.259998,42.700001,42.810001,8307600,42.810001
"251",42.720001,42.889999,42,42.009998,7596300,42.009998
"252",41.919998,41.950001,41.02,41.630001,11943500,41.630001
"253",41.700001,42.310001,41.689999,42.060001,7930000,42.060001
