"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"63",50.07,50.419998,49.860001,50.07,2252700,49.105124
"64",49.93,50.25,49.75,49.799999,1918400,48.840326
"65",49.689999,49.919998,49.470001,49.639999,2327000,48.68341
"66",49.32,49.91,49.259998,49.759998,2132400,48.801096
"67",49.68,49.759998,48.900002,49.119999,2238000,48.17343
"68",49.23,49.349998,48.650002,48.869999,1777300,47.928248
"69",48.650002,49.330002,48.639999,49.200001,2001400,48.25189
"70",49,50.02,49,49.630001,1814300,48.673604
"71",49.790001,50.369999,49.57,50.290001,1594600,49.320885
"72",50.639999,50.639999,49.810001,49.990002,2917300,49.026667
"73",49.75,50.080002,49.369999,49.919998,3344700,48.958013
"74",49.459999,50.099998,49.25,49.669998,3190000,48.712831
"75",49.720001,50.189999,49.599998,50,2203700,49.036473
"76",49.939999,50.049999,49.549999,49.639999,3193900,48.68341
"77",49.73,50.110001,49.619999,50.029999,1613600,49.065894
"78",49.689999,50,49.52,49.810001,1632900,48.850136
"79",49.82,50.009998,49.450001,49.490002,3185500,48.536303
