"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"225",67.18,67.5,65.419998,66.050003,11780600,65.934617
"226",65.220001,66.660004,65.150002,65.769997,10142800,65.6551
"227",66.050003,66.139999,65.470001,65.580002,7426400,65.465437
"228",65.769997,66.389999,65.599998,65.959999,8099800,65.84477
"229",66.150002,66.650002,65.230003,65.669998,7084600,65.555276
"230",65.580002,66.779999,65.540001,66.580002,6660300,66.46369
"231",67.139999,70.160004,67.010002,69.470001,18359000,69.34864
"232",69.300003,69.699997,68.790001,69.019997,10998500,68.899422
"233",68.550003,69,67.970001,68.690002,7438200,68.570004
"234",68.75,68.879997,68.190002,68.650002,5129800,68.650002
"235",68.959999,70.029999,68.849998,70,6491100,70
"236",70.099998,70.690002,69.309998,69.57,7121000,69.57
"237",69.739998,70.239998,69.129997,70,5553800,70
"238",70.139999,70.559998,70,70.160004,4351000,70.160004
"239",70.25,70.32,69.480003,69.779999,4870100,69.779999
"240",69.550003,69.870003,69.279999,69.370003,6483800,69.370003
"241",69.300003,69.849998,69.300003,69.620003,4511700,69.620003
"242",69.309998,69.5,68.309998,68.540001,6228100,68.540001
"243",68.849998,69.739998,68.5,69.489998,7064800,69.489998
"244",69.480003,69.779999,68.800003,69.559998,3893900,69.559998
"245",69.330002,69.599998,68.519997,68.68,6516300,68.68
"246",69.129997,69.449997,68.43,69.110001,6303100,69.110001
"247",68.730003,69.459999,68.010002,69.040001,4457400,69.040001
"248",69.260002,69.5,68.889999,68.949997,4902700,68.949997
"249",68.629997,69.150002,68.029999,68.209999,6433200,68.209999
"250",68.290001,68.699997,68,68.370003,4374000,68.370003
"251",68.190002,68.290001,67.620003,67.68,4833700,67.68
"252",67.669998,68.089996,67.529999,67.949997,4429600,67.949997
"253",68.220001,69.669998,68.110001,69.629997,6788100,69.629997
