"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume","HCN.Adjusted"
"33",64.629997,64.849998,64.269997,64.480003,1763700,61.61692
"34",64.339996,64.860001,64.339996,64.75,1384300,61.874928
"35",64.620003,64.720001,64.239998,64.360001,1172800,61.502245
"36",64.290001,64.68,63.689999,64.029999,1417100,61.186897
"37",63.919998,64.379997,63.400002,63.630001,2749500,60.80466
"38",63.689999,65.160004,63.509998,64.580002,2561500,61.712478
"39",64.550003,64.879997,64.099998,64.699997,1425600,61.827145
"40",65.050003,65.050003,63.900002,64.18,1748900,61.330238
"41",64.160004,64.589996,64,64.099998,2136900,61.253788
"42",63.549999,63.57,63.029999,63.09,2016800,61.045756
"43",63.240002,63.68,62.82,63.099998,3639500,61.05543
"44",63.18,63.59,63.040001,63.209999,2767100,61.161866
"45",63.290001,63.599998,63.209999,63.509998,1746000,61.452145
"46",63.970001,65.059998,63.810001,64.949997,2244800,62.845485
"47",65.239998,65.970001,65.029999,65.690002,2016100,63.561512
"48",65.779999,66.349998,65.269997,65.309998,2286700,63.19382
"49",65.510002,65.790001,65.339996,65.68,1385900,63.551834
"50",65.900002,66.279999,65.730003,65.879997,1288700,63.745351
"51",65.879997,66.580002,65.639999,66.360001,1625800,64.209801
"52",66.379997,66.919998,66.290001,66.370003,1361900,64.219479
"53",66.389999,66.559998,65.830002,66.129997,921700,63.987251
"54",66.32,66.489998,65.919998,66.110001,980600,63.967902
"55",66.300003,66.690002,66.199997,66.669998,1025400,64.509754
"56",66.639999,66.989998,66.599998,66.949997,954600,64.780681
"57",66.760002,67.18,66.660004,67.07,1287900,64.896795
"58",67.150002,67.580002,67.010002,67.580002,3485300,65.390272
"59",67.830002,67.870003,67,67.260002,1494700,65.080641
"60",67.449997,67.720001,67.239998,67.580002,1207100,65.390272
"61",67.43,67.989998,67.080002,67.529999,1518400,65.341889
"62",67.410004,68.360001,67.339996,68.32,2047700,66.106292
"63",68.129997,68.209999,67.639999,67.849998,1319300,65.65152
"64",67.610001,67.699997,66.989998,67.220001,1738800,65.041936
"65",67,67,66,66.220001,1521900,64.074338
"66",66.300003,66.720001,66.029999,66.489998,1153500,64.335586
"67",64.139999,64.589996,62.889999,63.25,16988900,61.200571
"68",63.330002,63.880001,63.029999,63.59,3106200,61.529555
"69",63.59,64,63.34,63.860001,2239800,61.790806
"70",64.160004,64.43,63.66,63.759998,2380100,61.694044
"71",63.959999,64,62.860001,62.889999,2175800,60.852235
"72",62.93,63.599998,62.630001,63.540001,4486500,61.481175
"73",63.52,63.709999,63.110001,63.130001,1557100,61.08446
"74",63.099998,63.48,62.689999,62.709999,2076200,60.678067
"75",62.799999,63.310001,62.310001,62.799999,2712600,60.765151
"76",62.66,62.869999,62.48,62.650002,2193300,60.620014
"77",62.84,63.18,62.360001,63.110001,2350300,61.065108
"78",62.959999,63.049999,62.400002,62.73,2000300,60.69742
"79",62.849998,63.040001,62.23,62.369999,2750300,60.349084
