"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"200",126.540001,126.82,123.379997,123.379997,51655200,122.866775
"201",122.760002,124.879997,122.599998,124.239998,47572900,123.723198
"202",124.57,124.699997,122.910004,123.25,39546200,122.737318
"203",124.050003,126.400002,124,126.370003,47099700,125.844343
"204",126.089996,126.489998,124.360001,124.43,42090600,123.91241
"205",124.82,125.120003,123.099998,124.25,40621400,123.733159
"206",125.029999,125.559998,124.190002,125.32,32220100,124.798707
"207",124.470001,127.510002,124.330002,127.349998,37194000,126.820262
"208",127.639999,128.119995,125.980003,126.010002,35012300,125.48584
"209",125.849998,126.400002,124.970001,125.599998,37329200,125.077542
"210",125.849998,126.580002,124.660004,126.559998,32484000,126.033547
"211",125.949997,127.209999,125.260002,127.099998,40188000,126.571302
"212",128.369995,128.570007,126.610001,126.849998,36365100,126.322342
"213",127,127.290001,125.910004,126.300003,25524600,125.774634
"214",126.410004,127.129997,126.010002,126.779999,28970400,126.252633
"215",126.279999,127.099998,126.110001,126.169998,28369000,125.64517
"216",125.550003,126.139999,124.459999,124.75,51957000,124.231079
"217",125.57,128.119995,125.169998,127.599998,47054300,127.069222
"218",128.100006,128.199997,126.669998,126.910004,32435100,126.382098
"219",126.989998,128.869995,126.32,128.619995,37654500,128.084976
"220",128.300003,130.419998,128.139999,129.669998,45770900,129.130611
"221",130.490005,130.630005,129.229996,130.279999,44525900,129.738075
"222",132.309998,133.130005,131.149994,132.649994,96954200,132.098211
"223",134.460007,134.539993,129.570007,130.559998,118924000,130.016909
"224",130.160004,131.589996,128.300003,128.639999,63386100,128.104897
"225",128.639999,128.639999,124.580002,125.150002,83195400,124.629416
"226",126.099998,130.130005,125.300003,128.949997,58512600,128.413605
"227",129.5,130.570007,128.259995,128.699997,50988300,128.164645
"228",128.149994,128.449997,125.779999,125.800003,49271400,125.276714
"229",126.559998,126.75,123.360001,125.010002,72141000,124.489999
"230",124.769997,126.080002,124.019997,125.260002,43940900,125.260002
"231",126.68,127.620003,126.110001,127.620003,55550400,127.620003
"232",127.389999,127.559998,125.629997,126.32,42035800,126.32
"233",125.599998,126.879997,124.82,125.870003,47109200,125.870003
"234",126.150002,127.190002,125.870003,126.010002,34322000,126.010002
"235",127.410004,128.949997,127.160004,128.949997,44487500,128.949997
"236",129.070007,129.490005,128.210007,128.770004,37921200,128.770004
"237",128.380005,130.720001,128.360001,130.190002,50176600,130.190002
"238",130.690002,130.880005,129.639999,130.070007,44351200,130.070007
"239",130,130.979996,129.339996,130.059998,35965000,130.059998
"240",130.070007,131.630005,129.830002,131.389999,39307500,131.389999
"241",131.600006,132.970001,131.399994,132.539993,45123800,132.539993
"242",132.600006,132.910004,129.119995,129.619995,70193700,129.619995
"243",130.339996,132.259995,130.050003,132.039993,45662800,132.039993
"244",131.860001,131.949997,131.100006,131.779999,30647300,131.779999
"245",131.229996,131.449997,129.899994,130.279999,50338200,130.279999
"246",130.279999,131.389999,130.050003,130.539993,31956000,130.539993
"247",129.860001,130.660004,129.320007,129.960007,33556900,129.960007
"248",130.660004,130.940002,129.899994,130.119995,30889400,130.119995
"249",129.580002,130.580002,128.910004,129.360001,38229300,129.360001
"250",129.5,129.690002,128.360001,128.649994,35314200,128.649994
"251",128.899994,129.210007,126.830002,127.800003,52538200,127.800003
"252",126.699997,128.080002,125.620003,127.419998,55771500,127.419998
"253",127.919998,129.339996,127.849998,128.880005,38915900,128.880005
