"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"1",60.91,61.75,60.720001,61.73,1492700,60.403431
"2",61.57,62.09,61.27,61.91,2172500,60.579563
"3",61.580002,61.98,61.48,61.82,1857900,60.491497
"4",61.880001,62.060001,61.650002,62.009998,861300,60.677412
"5",61.93,62.5,61.720001,62.459999,1198600,61.117743
"6",62.48,62.549999,62.009998,62.240002,1389100,60.902473
"7",62.389999,63.66,62.299999,63.529999,2157200,62.164748
"8",63.43,63.709999,63.240002,63.689999,1254000,62.32131
"9",64.029999,64.089996,63.580002,63.919998,2777200,62.546366
"10",64.029999,64.040001,63.66,63.810001,1183800,62.438733
"11",63.560001,64.040001,62.919998,62.959999,1636800,61.606998
"12",62.959999,63.599998,62.91,63.5,1118800,62.135394
"13",63.470001,63.73,62.880001,63.73,949100,62.360451
"14",63.599998,63.970001,63.380001,63.799999,901400,62.428946
"15",62.599998,63.82,62.599998,63.790001,969800,62.419163
"16",64.07,64.290001,63.52,63.529999,1186800,62.164748
"17",63.59,64.389999,63.299999,64.129997,1310400,62.751853
