"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"63",82.790001,83.25,82.459999,82.93,3573500,80.708007
"64",82.599998,82.900002,82.190002,82.25,3068800,80.046226
"65",82.239998,82.489998,81.809998,81.980003,4466800,79.783464
"66",81.730003,82.18,81.620003,82.080002,4086900,79.880783
"67",81.860001,82.260002,81.660004,81.949997,2640800,79.754262
"68",81.68,82.800003,81.550003,82.68,3513300,80.464706
"69",82.400002,83.389999,82.199997,82.93,4223200,80.708007
"70",83.099998,83.949997,83,83.57,5249900,81.330859
"71",83.599998,84.209999,83.540001,84.150002,3647900,81.89532
"72",84.459999,84.510002,83.599998,83.639999,5150100,81.398983
"73",83.379997,83.760002,83.160004,83.739998,3902100,81.496302
"74",83.690002,83.849998,83.239998,83.32,4384100,81.087557
"75",83.32,83.889999,83.07,83.769997,4107600,81.525497
"76",83.769997,83.779999,83.07,83.129997,5515700,80.902645
"77",82.400002,83.099998,82.400002,82.830002,2877200,81.196731
"78",82.199997,82.449997,82,82.339996,3782500,80.716388
"79",82.339996,82.57,81.959999,81.989998,3821200,80.37329
"80",81.809998,82.269997,81.410004,81.550003,4625100,79.941972
"81",81.510002,81.790001,80.949997,81.709999,4115800,80.098813
"82",82.809998,82.949997,82.019997,82.160004,3422900,80.539944
"83",82.489998,82.940002,82.279999,82.839996,2662700,81.206528
"84",81.169998,81.580002,79.959999,80.010002,7171300,78.432337
"85",79.790001,81.43,78.879997,81.309998,8312200,79.706699
"86",81.360001,82.269997,81.019997,81.150002,5240000,79.549857
"87",80.970001,82.690002,80.309998,80.980003,5165400,79.383211
"88",81.57,82.879997,81.419998,81.650002,4872800,80.039998
"89",81.949997,86.089996,81.57,84.360001,7207400,82.696561
"90",83.580002,85.32,82.739998,84.93,5571300,83.255321
"91",83.68,85.120003,83.269997,84.120003,6177000,82.461295
"92",84.769997,84.769997,82.589996,83.290001,6437200,81.64766
"93",82.709999,82.910004,82.050003,82.199997,4819800,80.579149
"94",82.650002,84.120003,82.25,83.779999,4333400,82.127996
"95",83.540001,84.57,83.07,83.419998,4061700,81.775094
"96",85.029999,85.559998,83.779999,85.169998,4378700,83.490586
"97",84.959999,85.639999,84.68,85.43,2380700,83.745462
"98",85.080002,85.080002,83.790001,84.580002,2378200,82.912224
"99",84.93,85.540001,84.82,85.489998,2517400,83.804276
"100",85.580002,85.839996,84.629997,85.150002,2465900,83.470984
"101",84.779999,85.440002,84.410004,85.230003,1666700,83.549408
"102",86.120003,86.139999,84.980003,85.540001,2554800,83.853293
"103",85.5,85.639999,83.800003,85,2709600,83.32394
"104",84.739998,84.849998,84.089996,84.550003,2643100,82.882817
"105",85.449997,85.489998,84.459999,84.970001,4007200,83.294533
"106",85.040001,87.93,84.910004,87.769997,5481000,86.039317
"107",87.790001,88.849998,87.720001,88.660004,4401400,86.911775
"108",88.410004,89.279999,87.959999,88.540001,3549400,86.794138
"109",88.360001,88.839996,87.839996,88.449997,1669800,86.705909
"110",88.339996,88.57,87.510002,88.269997,2593400,86.529458
"111",88.260002,88.349998,87.25,87.459999,2580800,85.735432
"112",87.080002,87.75,86.839996,87.519997,2098600,85.794247
"113",86.699997,87.139999,85.449997,86.809998,4047400,85.098248
"114",86.809998,87.519997,86.449997,87.290001,2144200,85.568786
"115",87.239998,87.330002,86.18,86.330002,2854800,84.627717
"116",85.790001,85.860001,85.150002,85.370003,3878500,83.686647
"117",86.099998,87.099998,85.949997,87.07,3364200,85.353123
"118",87.449997,88,86.599998,87.519997,2315600,85.794247
"119",87.599998,87.93,87.019997,87.790001,4060100,86.058927
"120",85.739998,87.940002,84.410004,86.989998,8945500,85.274699
"121",86.529999,87,85.57,86.620003,2928000,84.911999
"122",87.949997,89.660004,87.82,89.580002,5245200,87.813632
"123",89.449997,89.629997,88.080002,88.309998,3781600,86.56867
"124",88.599998,90.379997,88.540001,90.18,3623500,88.4018
"125",89.870003,89.949997,88.889999,89.57,2055800,87.803827
"126",89.239998,90.050003,89.010002,89.730003,2071700,87.960676
"127",89.610001,90.099998,88.629997,88.839996,1995300,87.088218
"128",87.959999,89.199997,87.949997,89.199997,2499100,87.44112
"129",88.889999,89,87.470001,87.519997,2814300,85.794247
