"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"54",54.060001,54.299999,53.810001,54.029999,940400,52.424043
"55",54.169998,54.599998,54.110001,54.360001,1066500,52.744236
"56",54.360001,54.599998,54.040001,54.310001,904700,52.695723
"57",53.84,54.009998,53.540001,53.959999,841700,52.356124
"58",54.150002,54.380001,53.91,54.32,849000,52.705424
"59",54.32,54.450001,53.91,53.919998,1482900,52.317312
"60",54.509998,55.259998,54.509998,55.02,1811700,53.384619
"61",55,56.09,54.970001,55.790001,2393700,54.131732
"62",55.689999,56.07,55.48,56.040001,1240300,54.374301
"63",56,56.049999,55.139999,55.43,1598700,53.782432
"64",55.380001,55.599998,54.990002,55.200001,1303600,53.559269
"65",55.189999,55.240002,54.57,54.849998,1164900,53.21967
"66",54.68,55.169998,54.639999,55.169998,979400,53.530158
"67",55.009998,55.169998,54.720001,54.959999,1659100,53.326401
"68",55.75,56.580002,55.25,55.349998,2552000,53.704808
"69",55.07,55.880001,54.919998,55.619999,1821800,53.966783
"70",57.900002,58.759998,57.25,57.810001,6157000,56.091691
"71",58.299999,58.34,57.540001,58.09,2814300,56.363368
"72",58.290001,58.310001,57.5,57.639999,2781700,55.926742
"73",57.240002,57.560001,56.700001,56.959999,2311000,55.266954
"74",56.959999,57.240002,56.599998,56.700001,1620600,55.014684
"75",56.869999,56.889999,55.810001,56.169998,3379500,54.500435
"76",55.939999,56,54.82,55.25,2629400,53.607782
"77",55.25,55.290001,54.630001,55.23,1619300,53.949669
"78",54.790001,55.029999,54.470001,54.560001,1677700,53.295203
"79",54.549999,54.91,53.84,54.279999,1782400,53.021691
"80",54.279999,54.290001,52.57,52.830002,2356600,51.605308
"81",52.849998,52.959999,51.540001,52.380001,2382700,51.165739
"82",52.34,52.860001,51.82,51.98,2003500,50.77501
"83",52.310001,52.48,51.200001,51.450001,2617100,50.257297
"84",51.150002,51.68,50.52,50.529999,2618400,49.358623
"85",50.560001,51.400002,49.799999,51.349998,2863600,50.159613
"86",51.310001,51.310001,49.57,49.630001,2197400,48.479489
"87",49.389999,49.970001,48.689999,48.709999,2606000,47.580814
"88",49.07,49.740002,48.16,48.220001,3237700,47.102175
"89",48.720001,49.73,48.450001,49.009998,2461200,47.873859
"90",48.220001,49.32,47.27,49.07,3135800,47.932469
"91",47.91,50.02,47.91,49.549999,2140600,48.401341
"92",49.970001,50.689999,49.669998,49.91,2673300,48.752996
"93",49.779999,50.580002,49.689999,50.48,1275300,49.309782
"94",51.080002,51.970001,50.919998,51.689999,2650500,50.491732
"95",51.799999,52.580002,51.549999,51.709999,2906700,50.511268
"96",51.869999,51.869999,50.25,51.119999,3557900,49.934946
"97",51.880001,52.860001,51.419998,52.790001,3322500,51.566234
"98",52.310001,52.68,51.849998,52.200001,3017600,50.989911
"99",52.59,53.529999,52.290001,53.419998,2009700,52.181627
"100",54.009998,54.18,52.200001,52.740002,5090900,51.517394
"101",52.599998,53.610001,52.349998,53.07,2543500,51.839742
"102",53.540001,54.09,52.650002,54.060001,3121700,52.806793
"103",53.849998,54,52.869999,53.349998,1976200,52.11325
"104",53.150002,53.299999,52,52.869999,1958700,51.644377
"105",53.060001,53.290001,52.41,53.060001,1219400,51.829975
"106",53.130001,53.639999,52.860001,53.48,1355500,52.240237
"107",53.549999,54.419998,53.549999,54.18,1518100,52.924011
