"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"80",125.25,125.68,124.449997,124.760002,1408700,119.830123
"81",124.989998,126.209999,124.82,125.790001,1545800,120.819422
"82",126.199997,127.650002,126.010002,127.089996,1770300,122.068048
"83",127.559998,127.669998,125.93,126.209999,1907500,121.222824
"84",125.349998,125.830002,124.75,125.269997,2334100,120.319965
"85",128.199997,128.949997,127.160004,128.729996,4262500,123.643243
"86",128.220001,130.740005,128.190002,128.410004,2962700,123.335895
"87",128.259995,131.410004,128.259995,128.899994,3353000,123.806524
"88",128.570007,128.850006,126.889999,126.970001,2445200,121.952794
"89",127.5,127.980003,125.269997,126.25,4003500,121.261244
"90",125.099998,125.699997,123.279999,124.300003,3784300,119.388301
"91",122.68,123.849998,122.050003,122.949997,3542900,118.09164
"92",123.769997,125.75,123.18,124.650002,3198900,119.724469
"93",124.830002,128.869995,124.650002,128.419998,3499800,123.345495
"94",128.940002,130.649994,128.169998,130.279999,2105600,125.131998
"95",130.559998,131.589996,130.320007,130.539993,1880000,125.381719
"96",131.029999,131.479996,130.350006,130.589996,1763600,125.429746
"97",128.580002,130.539993,128.559998,130.440002,2490300,125.285679
"98",129.240005,131.259995,129.240005,130.919998,1629600,125.746708
"99",130.970001,131.5,130.160004,131.059998,1439700,125.881175
"100",131.289993,132,130.929993,131.929993,1705800,126.716792
"101",131.5,133.309998,131.330002,133,1302000,127.744518
"102",134.449997,134.5,132.710007,133.369995,2373900,128.099893
"103",133.820007,134.289993,133.369995,134.270004,1947000,128.964339
"104",134.610001,136.720001,133.990005,136.550003,2802500,131.154243
"105",137.490005,137.809998,136.029999,136.5,2116800,131.106216
"106",137.389999,137.669998,136.600006,137.089996,1685900,131.672899
"107",137.050003,137.910004,136.520004,137.710007,1589400,132.26841
"108",137.850006,137.889999,135.979996,137.690002,1958000,132.249196
"109",137.779999,137.949997,136.660004,137.050003,1495500,131.634486
"110",136.699997,137.350006,136.149994,136.899994,1910200,131.831887
"111",137.639999,138.759995,137.339996,138.710007,2235900,133.574892
"112",138.929993,138.929993,138.070007,138.479996,1598600,133.353396
"113",137.210007,138.5,137.210007,138.470001,1228100,133.343772
"114",138.479996,139.339996,138.039993,139.210007,1574600,134.056382
"115",139.089996,140.139999,139.089996,140.009995,1362600,134.826754
"116",139.059998,140.009995,139.020004,139.25,1516900,134.094895
"117",140.800003,140.830002,139.229996,139.720001,1849200,134.547496
"118",139.330002,139.990005,139.190002,139.800003,1645800,134.624536
"119",140.100006,140.350006,138.740005,138.869995,1865800,133.728958
"120",139.5,140.880005,139.039993,139.75,1631900,134.576384
"121",141.300003,142.970001,140.309998,142.119995,1442600,136.858641
