"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"1216",150.970001,152.199997,150.520004,152.050003,541300,151.183165
"1217",152.240005,152.509995,150.990005,151.919998,509900,151.053901
"1218",151.559998,152.5,150.539993,150.580002,815600,149.721544
"1219",151.020004,152.399994,150.509995,151.839996,955300,150.974356
"1220",152.360001,153.929993,151.960007,152.350006,809100,151.481458
"1221",152,152,150.75,151.589996,621500,150.725781
"1222",150.75,151.389999,148.630005,149.850006,982300,148.99571
"1223",150.5,151.589996,149.860001,151.369995,662000,150.507034
"1224",152,152.389999,151.070007,151.929993,675900,151.063839
"1225",151.809998,152.119995,150.360001,151.470001,538800,150.60647
"1226",151.220001,151.490005,150.029999,150.600006,618700,149.741435
"1227",150.660004,151.080002,149.369995,150.059998,1071800,149.204505
"1228",149.949997,152.179993,148.690002,151.059998,2014700,150.198804
"1229",150.850006,153.580002,149.809998,152.960007,2480000,152.087981
"1230",151.820007,152.990005,151.369995,151.869995,1391000,151.004183
"1231",153.350006,153.350006,142.270004,143.429993,4796500,142.612298
"1232",143.75,147.899994,143.509995,146.600006,1949100,145.764239
"1233",147.929993,149.080002,147.110001,147.580002,1122200,146.738647
"1234",148.190002,148.990005,144.960007,145.410004,1018400,144.58102
"1235",146.389999,147.130005,144.710007,145.550003,730600,144.720222
"1236",145.279999,146.570007,144.389999,146.190002,790500,145.356572
"1237",147.869995,149.020004,147.589996,147.970001,920600,147.126423
"1238",147.389999,148.279999,145.960007,146.009995,908300,145.177591
"1239",144.949997,145.729996,144.149994,144.479996,762600,143.656314
"1240",144.660004,146.050003,143.630005,144.949997,1913000,144.123636
"1241",146,147.729996,144.830002,147.619995,996100,146.778413
"1242",147.949997,148.960007,147.179993,148.479996,908000,147.63351
"1243",148.410004,148.589996,147.350006,147.929993,527000,147.086643
"1244",147.979996,149.369995,147.149994,147.509995,760600,146.669039
"1245",147.720001,148.009995,146.809998,147.119995,640700,146.281263
"1246",146.710007,148.410004,146.589996,147.990005,608600,147.146314
"1247",147.520004,148.070007,146.369995,146.770004,749400,145.933268
"1248",146.029999,146.419998,145.300003,146.039993,669600,145.207418
"1249",146,148.050003,145.550003,147.539993,616800,146.698867
"1250",146.970001,148.309998,146.850006,148.199997,520200,147.355108
"1251",147.850006,148.410004,146.410004,146.759995,1066800,145.923315
"1252",147.649994,148.100006,146.289993,147.449997,660400,146.609384
"1253",147.139999,148.75,146.270004,148.149994,1002000,147.30539
"1254",148.139999,149.089996,148.009995,148.339996,1194400,147.494309
"1255",145.070007,147.210007,144.669998,145.929993,1407300,145.098045
"1256",145.350006,145.970001,144.589996,145.580002,846900,144.750049
"1257",145.460007,145.770004,144.520004,144.539993,567800,143.71597
"1258",145.119995,145.580002,143.660004,144.429993,925800,143.606596
"1259",145.470001,146.350006,144.940002,145.940002,658900,145.107998
