"","FOSL.Open","FOSL.High","FOSL.Low","FOSL.Close","FOSL.Volume","FOSL.Adjusted"
"333",80.120003,82.190002,75.050003,75.279999,1365200,75.279999
"334",74.370003,81.389999,73.010002,81.120003,1466700,81.120003
"335",78.230003,84.199997,77.809998,83.190002,1351500,83.190002
"336",83.080002,86.150002,83.080002,85.349998,1503100,85.349998
"337",86.230003,86.230003,81.440002,82.5,1324400,82.5
"338",84.339996,88.18,83.940002,86.769997,1164300,86.769997
"339",86.809998,91.760002,86,90.889999,1396100,90.889999
"340",92.129997,95.589996,91.349998,92.190002,1361600,92.190002
"341",91.279999,93.870003,89.129997,92.260002,1189100,92.260002
"342",94.419998,95.379997,92.349998,94.779999,675800,94.779999
"343",94.459999,96.309998,92.470001,93.029999,849500,93.029999
"344",91.720001,92.419998,87.790001,90.800003,2236900,90.800003
"345",92.059998,94.889999,88.720001,89.739998,1557800,89.739998
"346",89.589996,89.690002,85.440002,88.129997,1591300,88.129997
"347",89.629997,91.760002,87.400002,90.029999,1268400,90.029999
"348",90.690002,98.43,90.279999,97.739998,1343800,97.739998
"349",96.410004,99.339996,92.580002,96.860001,1334300,96.860001
"350",97.839996,100.68,97.050003,99.150002,1224400,99.150002
"351",103.120003,110,103.019997,107.839996,1470800,107.839996
"352",105,110.739998,104.040001,109.989998,1352300,109.989998
"353",105.510002,107.269997,102.959999,103.660004,1066500,103.660004
"354",98.980003,101.480003,97.400002,99.300003,1815700,99.300003
"355",100.669998,102.720001,99.489998,101.129997,973600,101.129997
"356",101.010002,102.279999,93.720001,99.330002,1988200,99.330002
"357",98,99.449997,96.050003,97.400002,1221900,97.400002
"358",97.82,99.25,94.449997,97.199997,1216300,97.199997
"359",90.410004,95.449997,88.339996,94.809998,3888200,94.809998
"360",91.910004,93.300003,90.209999,92.029999,1671700,92.029999
"361",93.620003,93.620003,89,90.410004,1426400,90.410004
"362",91.510002,93.370003,90.620003,93.089996,969400,93.089996
"363",92.830002,92.870003,90.120003,90.93,901700,90.93
"364",90.580002,92.589996,89.739998,91.580002,763100,91.580002
"365",91.529999,96.129997,90.540001,91.830002,1500800,91.830002
"366",91.589996,92.839996,88.970001,89.93,1069500,89.93
"367",90.419998,91.099998,86.559998,86.949997,1189500,86.949997
"368",84.980003,85.360001,81.690002,83.099998,1198600,83.099998
"369",83.099998,84.400002,82.32,83.050003,1005800,83.050003
"370",82.110001,82.93,80.889999,82.510002,1023000,82.510002
"371",82.089996,83.720001,80.989998,81.260002,436000,81.260002
"372",87.589996,88.330002,85.360001,87.260002,1043100,87.260002
"373",87.400002,87.800003,85.339996,86.379997,893400,86.379997
"374",90.309998,92.209999,88,89.589996,1066800,89.589996
"375",89.150002,90.559998,87.779999,88.580002,689900,88.580002
"376",89.629997,91.18,88.629997,89.910004,789100,89.910004
"377",91.589996,92.629997,88.599998,89.089996,1209400,89.089996
"378",88.839996,88.980003,85.790001,86.669998,1020700,86.669998
"379",85.879997,86.470001,84.059998,85.879997,926800,85.879997
"380",86.529999,86.709999,82.769997,83.099998,791200,83.099998
"381",83.419998,86.639999,82.870003,86.360001,661800,86.360001
"382",85,85.290001,82.900002,84.190002,1002500,84.190002
"383",84.099998,85.239998,81.349998,82.050003,1214600,82.050003
"384",81.639999,82.459999,79.760002,81.529999,1205900,81.529999
"385",82.040001,82.870003,79.620003,81.809998,1053800,81.809998
"386",82.160004,84.379997,80.150002,80.940002,2977800,80.940002
"387",81.25,82.940002,80.379997,80.510002,1048700,80.510002
"388",81.900002,83.410004,81.510002,82.970001,1155200,82.970001
"389",82.900002,83.959999,80.540001,83.709999,1007400,83.709999
"390",83.910004,84.139999,81.459999,82.93,931800,82.93
"391",83.459999,86.349998,83.029999,85.900002,611800,85.900002
"392",85.75,88.139999,85.459999,86.589996,518000,86.589996
"393",86.510002,87.050003,82.459999,82.620003,765000,82.620003
"394",82.32,82.720001,80.550003,82.120003,839100,82.120003
"395",81.559998,81.730003,79.260002,79.360001,909400,79.360001
"396",81.120003,82.440002,79.099998,79.269997,1395500,79.269997
"397",79.080002,79.860001,77.779999,78.080002,1887400,78.080002
"398",78.639999,81.940002,76.720001,81.440002,1941400,81.440002
"399",81.610001,81.650002,78.339996,78.459999,1520200,78.459999
"400",80.790001,81.059998,78.839996,78.980003,1335000,78.980003
"401",78.639999,81.379997,78.099998,80.669998,1574100,80.669998
"402",80.029999,81,79.199997,79.370003,877900,79.370003
"403",79.419998,87.68,78.599998,86.779999,3774300,86.779999
"404",86.190002,89.43,85.510002,86.839996,1528300,86.839996
"405",87.629997,88.540001,86.5,86.589996,609000,86.589996
"406",86.739998,90.910004,86.290001,90.489998,1105300,90.489998
"407",90.589996,92.239998,89.260002,90.93,923300,90.93
"408",90.779999,91.720001,89.760002,89.989998,605600,89.989998
"409",89.589996,91.690002,89.57,90.279999,445600,90.279999
"410",89.980003,92.82,89.209999,92.080002,603900,92.080002
"411",91.82,95.300003,91.059998,95.07,927200,95.07
"412",95.709999,97.669998,95.389999,97.400002,1940500,97.400002
"413",95.419998,96.739998,94.980003,95.989998,612100,95.989998
"414",94.860001,95,93.800003,94.239998,770500,94.239998
"415",95.07,96.550003,94.239998,95.050003,868000,95.050003
"416",96.339996,98.029999,95.779999,97.699997,808400,97.699997
"417",97.5,98.769997,96.379997,97.5,1094000,97.5
"418",98.669998,102.309998,98.290001,100.190002,1455100,100.190002
"419",99.470001,100.989998,98.309998,100.489998,479600,100.489998
"420",97.510002,100.739998,96.18,100.139999,1586100,100.139999
"421",100.660004,103.129997,99.589996,100.75,735900,100.75
"422",101.220001,101.629997,99.669998,101.400002,542400,101.400002
"423",99.809998,101.5,99.050003,100.489998,935900,100.489998
"424",102.110001,105.940002,100.690002,104.5,1878700,104.5
"425",100,120.800003,99.07,119.82,10327100,119.82
"426",117.510002,119.769997,115.300003,117.160004,2861800,117.160004
"427",117.330002,119.940002,116.5,118.449997,1421600,118.449997
"428",118.190002,119.300003,117.199997,118.190002,703900,118.190002
"429",118.459999,121.239998,116.120003,117.129997,1334100,117.129997
"430",116.599998,117.309998,114.660004,115.919998,1003900,115.919998
"431",115.910004,119.220001,115.169998,118.779999,711500,118.779999
"432",118.459999,122.110001,117.760002,121.779999,1120200,121.779999
"433",120,122.739998,119.199997,120.809998,1113400,120.809998
"434",120.910004,122.050003,119.620003,121.93,772100,121.93
"435",121.050003,123.440002,120.730003,121.980003,1274300,121.980003
"436",122.82,126.629997,122.040001,126.290001,1064700,126.290001
"437",124.470001,127.050003,123.339996,126.639999,1302000,126.639999
"438",126.190002,127.660004,124.650002,125.690002,580700,125.690002
"439",124.410004,125,118.699997,119.93,1074900,119.93
"440",120.760002,123.220001,119.440002,122.68,1380900,122.68
"441",123.18,127.82,122.220001,126.220001,1362400,126.220001
"442",126.010002,129.789993,125.349998,129.529999,1155800,129.529999
"443",129.869995,130.869995,126.970001,128,774000,128
"444",129.320007,130.369995,126.790001,130.339996,1118100,130.339996
