"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"47",51.130001,51.470001,50.599998,51,1349000,49.325506
"48",51.139999,51.599998,50.889999,51.209999,2049500,49.52861
"49",51.23,52.18,51.049999,51.869999,1596300,50.16694
"50",51.630001,51.630001,50.169998,50.220001,1826000,48.571117
"51",50.029999,50.549999,49.48,49.82,1779300,48.184249
"52",50.150002,50.59,49.360001,49.369999,1649200,47.749023
"53",48.849998,48.849998,46.860001,46.970001,3615200,45.427825
"54",46.380001,47.970001,46.27,47.720001,2950000,46.1532
"55",47.759998,47.849998,47.119999,47.279999,1672700,45.727644
"56",47.34,48.080002,47.119999,48.009998,1409600,46.433676
"57",47.869999,48.07,47.529999,47.529999,1272300,45.969436
"58",47.419998,47.560001,46.959999,47.169998,1934800,45.621255
"59",47.720001,48.599998,47.549999,47.700001,1870400,46.133856
"60",48.130001,48.759998,47.900002,48.549999,1426900,46.955947
"61",48.880001,49.43,48.82,49.279999,1428200,47.661978
"62",49.099998,49.450001,48.849998,49,1698900,47.391172
"63",48.709999,48.98,48.27,48.700001,2298300,47.101023
"64",49.080002,49.240002,48.709999,48.950001,1413100,47.342815
"65",48.919998,49.419998,48.599998,48.990002,1522700,47.381502
"66",49.470001,49.66,49.09,49.299999,1553900,47.681322
"67",49.119999,49.950001,48.66,49.869999,1895900,48.232606
"68",49.75,50.580002,49.490002,50.57,2064900,48.909624
"69",50.360001,50.580002,49.599998,50.57,1531200,48.909624
"70",50.73,50.98,50.349998,50.68,1981800,49.016013
"71",50.869999,51.689999,50.540001,51.599998,1428500,49.905804
"72",51.43,51.889999,51.080002,51.529999,1438700,49.838103
"73",51.450001,51.75,50.490002,50.599998,1629600,48.938638
"74",50.279999,50.790001,50.009998,50.330002,1327200,48.677506
"75",50.68,51.810001,50.669998,51.810001,1236900,50.108912
"76",51.200001,51.200001,49.990002,50.110001,3127000,48.464728
"77",50.169998,51.790001,49.5,51.689999,4273400,49.99285
"78",51.48,52.400002,51.23,52.150002,2131400,50.437749
"79",52.279999,52.740002,51.799999,52.330002,1988800,50.611839
"80",52.509998,52.810001,52.279999,52.650002,1724400,50.921333
"81",52.330002,52.669998,51.060001,51.23,1859600,49.547954
"82",51.689999,52.720001,51.619999,52.419998,1763900,50.698881
"83",52.439999,52.75,52.330002,52.75,1091100,51.018048
"84",52.869999,52.889999,51.77,52.099998,2103300,50.389388
"85",52.23,52.560001,51.580002,51.959999,2142000,50.253985
