"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"325",89.239998,89.620003,85.550003,85.739998,10221400,40.788872
"326",83.190002,84.709999,82.220001,84.18,11881600,40.046738
"327",87.779999,89.989998,86.690002,88.639999,18209600,42.168483
"328",89.559998,89.980003,87.220001,89.309998,8419200,42.487219
"329",90.400002,92.559998,89.980003,90.580002,8731400,43.091395
"330",90.669998,91.980003,88.25,88.470001,7129000,42.08761
"331",89.790001,90,85.440002,87.989998,7189000,41.859259
"332",86.980003,88.239998,85.480003,85.510002,6979400,40.679457
"333",84.949997,86.190002,83,83.050003,7168000,39.509168
"334",81.540001,85.900002,81.010002,85.730003,6890800,40.784117
"335",85.93,88.239998,85.330002,87.800003,7393200,41.768873
"336",87.529999,89.790001,87.220001,89.279999,5302000,42.472948
"337",89.290001,89.870003,87.589996,88.150002,5180800,41.935377
"338",89.779999,90.870003,89.339996,90.720001,4104600,43.157997
"339",89.790001,90.699997,89.43,89.849998,4345200,42.744112
"340",90.330002,92.5,89.949997,91.790001,7027600,43.667025
"341",91.419998,92.5,90.93,92.209999,4232400,43.866829
"342",92.580002,93.18,91.910004,92.970001,4285400,44.228383
"343",92.269997,92.900002,90.709999,91.019997,4102800,43.300713
"344",90.610001,92.330002,87.980003,91.480003,5563000,43.51955
"345",91.669998,92.5,91.07,91.290001,4283400,43.429161
"346",91.639999,92.459999,90.690002,91.889999,4222400,43.714597
"347",92.800003,94.349998,92.529999,94.349998,6191800,44.884886
"348",94.339996,95.93,94.120003,95.07,6586800,45.22741
"349",94.110001,95.339996,93.470001,93.75,4744400,44.59945
"350",94.639999,94.989998,92.730003,94.209999,4777600,44.818284
"351",96.169998,96.489998,95.43,95.830002,7720400,45.588964
"352",95.660004,96.93,94.919998,96.75,6110800,46.026633
"353",95.760002,97.68,95.540001,96.349998,6114000,45.836341
"354",93.510002,95.43,93.459999,93.879997,5325600,44.661293
"355",95.650002,95.800003,94.089996,94.940002,5812200,45.165567
"356",96.150002,96.239998,93.57,95.68,5396400,45.517604
"357",95.199997,95.989998,93.610001,94.379997,4119600,44.899157
"358",94.519997,95.300003,93.440002,93.800003,4365400,44.623238
"359",94.389999,95.639999,93.699997,95.419998,4829600,45.393914
"360",93.470001,94.050003,91.610001,92.360001,5853400,43.938189
"361",93.419998,94.540001,92.57,93.919998,4696800,44.680323
"362",94.75,96.410004,94.449997,96.150002,4054000,45.741197
"363",95.839996,96.889999,95.199997,95.75,3424600,45.550905
"364",95.260002,96.599998,94.669998,95.949997,3506800,45.646049
"365",95.139999,95.5,93.540001,93.699997,4425000,44.575662
"366",93.129997,93.68,90.900002,91.889999,4519600,43.714597
"367",92.620003,93.480003,91.449997,92.75,4720400,44.123723
"368",91.620003,92.160004,89.790001,91.059998,3677000,43.319742
"369",91.190002,92.620003,90.989998,91.629997,3830000,43.590907
"370",90.730003,91.970001,90.5,90.93,3735200,43.257899
"371",90.660004,91.860001,90.279999,90.279999,1737800,42.948675
"372",92.040001,95.830002,91.900002,94.910004,7721200,45.151296
"373",95.260002,95.43,94.309998,94.870003,5512200,45.132266
"374",97.080002,97.5,94.919998,96.18,6746400,45.755468
"375",95.360001,96.339996,94.510002,95.25,4783400,45.483285
"376",95.779999,96.709999,95.510002,96.25,4732800,45.9608
"377",96.730003,97.489998,95.940002,96.599998,4427800,46.127929
"378",97.199997,97.239998,95.959999,96.25,3493800,45.9608
"379",96.779999,96.989998,95.260002,95.889999,5604600,45.788894
"380",95.599998,96.480003,95,95.18,4696600,45.449859
"381",95.480003,98.25,95.300003,97.68,6211400,46.643646
"382",97.339996,97.75,95.779999,96.949997,5426200,46.295059
"383",97.129997,97.790001,94.410004,95.050003,5357000,45.387784
"384",94.970001,95.720001,93.75,94.389999,4727600,45.072622
"385",95.440002,95.739998,93.410004,94.080002,5366000,44.924594
"386",94.779999,95.080002,93.550003,93.669998,6394200,44.728811
"387",93.919998,94.139999,93.059998,93.379997,4382600,44.590331
"388",94.480003,95.900002,92.889999,93.629997,9150400,44.70971
"389",95.830002,97.290001,94.290001,96.349998,12522600,46.008551
"390",96.589996,96.589996,94.25,94.82,5855800,45.277954
"391",95.269997,96.93,94.769997,96.900002,3582600,46.271185
"392",96.980003,98,96.510002,97.769997,3224000,46.686621
"393",97.93,98,96.279999,96.43,3415000,46.046753
"394",96.550003,97.919998,96.489998,97.459999,4285800,46.538592
"395",97.389999,97.540001,96.370003,96.370003,3304600,46.018103
"396",97.370003,97.989998,96.699997,96.809998,5472200,46.228207
"397",96.709999,98.75,96.510002,98.220001,4720400,46.901505
"398",97.790001,98.580002,97,98.160004,4196600,46.872855
"399",97.93,98.5,97.519997,97.989998,3880400,46.791675
"400",98.099998,98.93,97.699997,98.349998,5022800,46.96358
"401",98.830002,98.93,97.68,98.470001,4906200,47.020883
"402",98.269997,98.599998,97.790001,98.139999,3501400,46.863303
"403",98.290001,99.139999,97.739998,99.099998,3758200,47.321716
"404",98.389999,98.93,98.040001,98.300003,3267000,46.939707
"405",98.699997,99.440002,98.050003,99.239998,4121000,47.388568
"406",98.809998,101.120003,98.699997,100.860001,6139400,48.162143
"407",100.739998,101.970001,100.519997,101.580002,4579000,48.505955
"408",101.550003,102,101.019997,101.760002,4474800,48.591907
"409",101.919998,102.970001,101.169998,101.559998,4164800,48.496402
"410",101.339996,102.379997,101.019997,102.209999,3282200,48.806788
"411",101.919998,103.290001,101.889999,103.209999,5691800,49.284302
"412",103,103.220001,101.790001,102.300003,3764000,48.849766
"413",102.169998,102.629997,101.5,102.110001,3467000,48.759037
"414",101.449997,104.150002,100.870003,103.389999,5946000,49.370255
"415",104.57,104.940002,103.459999,103.989998,12375800,49.656763
"416",104.410004,104.830002,103.739998,103.75,5000200,49.542161
"417",104,104.190002,102.57,102.82,4686400,49.098072
"418",103.5,104,103.099998,103.5,6596000,49.422782
"419",103.040001,103.860001,102.68,103.459999,3115200,49.403681
"420",103.220001,104.699997,102.959999,104.230003,2615600,49.77137
"421",104.519997,106.660004,104.519997,105.93,5571400,50.583143
"422",105.75,106.18,105.220001,105.760002,2923800,50.501967
"423",105.07,105.589996,104.760002,105.410004,3105000,50.334837
"424",105.800003,105.93,104.620003,105.220001,2937600,50.244108
"425",104.790001,106.639999,104.290001,106.629997,4763000,50.917402
"426",106.949997,107.629997,106.309998,106.599998,4967600,50.903077
"427",106.470001,107.43,105.550003,106.160004,3329000,50.692973
"428",106.739998,107.480003,106.279999,106.68,3478600,50.941279
"429",106.589996,107.18,104.709999,104.949997,3654400,50.115177
"430",105.059998,106.239998,104.980003,105.730003,3118600,50.487642
"431",105.919998,106.699997,105.540001,106.139999,2930200,50.683421
"432",106.110001,106.599998,105.629997,106.290001,2337600,50.755049
"433",105.879997,107.709999,105.540001,107.169998,3038600,51.175261
"434",107.410004,107.629997,106.519997,107.43,2523800,51.299415
"435",107.510002,108.279999,106.93,107.919998,3544200,51.533397
"436",108.889999,108.980003,108.019997,108.540001,3535200,52.00293
"437",108.669998,109.059998,107.949997,108.739998,3505600,52.098751
"438",108.699997,109.669998,108.300003,109.239998,3586600,52.338308
"439",108.559998,109.220001,106.970001,107.339996,3943600,51.427992
"440",107.459999,108.150002,107.300003,107.580002,3588800,51.542982
"441",108.129997,108.5,107.660004,107.900002,2282400,51.696298
"442",108.639999,110.150002,108.199997,109.980003,4906800,52.692854
"443",108.800003,109.919998,108.599998,109.449997,4604000,52.438921
"444",110,110.839996,109.540001,110.760002,4765600,53.066562
"445",110.900002,111.230003,110.160004,110.300003,3726200,52.84617
"446",110.830002,111.07,110.309998,110.730003,3648600,53.052189
"447",110.739998,111.779999,110.559998,111.220001,7224800,53.286953
"448",111.900002,112.519997,110.959999,112.129997,5199800,53.722944
"449",111.730003,112.970001,111.730003,111.739998,5340600,53.53609
"450",112.07,112.699997,110.379997,110.440002,7554800,52.913246
"451",110.110001,111.629997,109.080002,110.989998,10226800,53.176756
"452",111.209999,111.5,106.07,107.419998,13254600,51.466322
"453",107.879997,108.800003,107.720001,108.550003,6256400,52.007722
"454",108.709999,109.169998,107.720001,107.879997,5065400,51.686714
"455",107.610001,107.93,106.279999,107.230003,4619600,51.375293
"456",106.300003,107.989998,106.300003,107.849998,3946600,51.672341
"457",108.379997,109.18,107.849998,108.440002,4637400,51.955019
"458",108.419998,109.830002,107.989998,109.019997,4894000,52.232902
"459",108.809998,109.650002,108.300003,109.370003,2322000,52.400595
"460",109.150002,109.889999,108.68,109.489998,4433400,52.458086
"461",109.029999,110.529999,109,110.389999,4393800,52.889288
"462",108.889999,111,108.510002,110.690002,5654800,53.033024
"463",110.480003,110.5,105.93,106.459999,8432200,51.006374
"464",107.699997,108.769997,107.470001,108.25,6017400,51.863987
"465",108.139999,108.699997,107.169998,108.650002,5777400,52.055633
"466",108.849998,109.599998,108.279999,109.169998,1311000,52.30477
"467",109.07,109.879997,108.68,109.400002,3567600,52.414968
"468",109.860001,110,109.199997,109.830002,2886000,52.620986
"469",109.339996,110.949997,109.050003,110.559998,4087400,52.970737
