"","HOT.Open","HOT.High","HOT.Low","HOT.Close","HOT.Volume","HOT.Adjusted"
"252",57.529999,57.610001,56,56.110001,3509000,49.996952
"253",56.040001,56.59,55.419998,56.43,2627700,50.282089
"254",56.209999,56.23,54.630001,54.98,2334700,48.990062
"255",55,55.330002,53.849998,54.580002,2798000,48.633643
"256",55.150002,55.400002,54.5,54.779999,4374200,48.811851
"257",54.400002,54.490002,52.200001,52.369999,6101400,46.664415
"258",52.299999,53.599998,51.490002,52.389999,5027600,46.682236
"259",53.110001,53.709999,51.509998,51.880001,5066200,46.227801
"260",51.549999,52.689999,50.869999,52.16,3734200,46.477294
"261",52.560001,54.549999,52.529999,54.060001,3475200,48.170295
"262",53.509998,54.740002,53.509998,53.709999,2261600,47.858425
"263",52.799999,54.23,52.240002,54.040001,3390300,48.152474
"264",54,54.16,53.029999,53.25,1891500,47.448542
"265",52.990002,53.93,52.619999,53.619999,1652300,47.77823
"266",53.93,55.5,53.93,55.349998,2627400,49.31975
"267",55.720001,56.25,54.470001,54.91,2916400,48.927689
"268",55.110001,56.380001,55.009998,56.040001,2653100,49.934579
"269",56.169998,58.369999,55.98,58.18,3948100,51.84143
"270",57.950001,58.779999,57.119999,58.439999,3036000,52.073102
"271",58.490002,58.490002,57.200001,57.470001,3186000,51.208784
"272",57.98,59.450001,57.98,58.650002,2992300,52.260226
"273",57.32,58.34,57.32,58.130001,3601100,51.796878
"274",57.110001,57.450001,56.25,56.57,2961100,50.406835
"275",56.43,57.869999,56.110001,56.52,4576300,50.362283
"276",57.27,58.02,56.759998,56.880001,2534900,50.683063
"277",56.32,56.380001,54.400002,55.650002,6845500,49.587069
"278",56.23,56.23,55.169998,55.860001,2711200,49.774189
"279",55.419998,55.860001,54.41,54.84,2361900,48.865315
"280",55.419998,56.279999,55.189999,56.060001,2532500,49.9524
"281",56.360001,57.32,55.990002,57.099998,2785600,50.879092
"282",57.5,58.25,57.130001,57.25,2793900,51.012751
"283",57.189999,58.040001,56.720001,57.869999,2086000,51.565203
"284",57.619999,57.93,57.029999,57.220001,2154400,50.986021
"285",56.98,57.279999,56.52,56.889999,1557100,50.691972
"286",56.73,56.98,55.59,55.709999,3136200,49.64053
"287",56.639999,57.419998,55.299999,55.360001,4101500,49.328663
"288",54.650002,55.400002,53.889999,54.959999,3458900,48.97224
"289",55.880001,56.130001,53.349998,53.91,3604500,48.036636
"290",53.330002,53.580002,49.810001,49.860001,7925500,44.427874
"291",49.970001,50.869999,47.59,50.59,8641000,45.078342
"292",48.759998,49.310001,46.529999,46.709999,9485800,41.621058
"293",47.560001,48.599998,44.470001,46.84,8303100,41.736896
"294",46.029999,46.029999,42.990002,43.389999,8487900,38.662764
"295",44.119999,45.23,42.349998,45.189999,7416400,40.266658
"296",43.900002,44.220001,41.98,42.099998,6961400,37.513306
"297",42.419998,44.400002,42.34,43.709999,6397600,38.947901
"298",43.110001,44.310001,42.5,43.779999,5909000,39.010274
"299",44.25,45.919998,44.18,45.830002,4139500,40.836934
"300",45.119999,45.23,43.5,44.139999,4580600,39.331053
"301",44.5,45.16,43.68,44.259998,3034000,39.437979
"302",42.720001,42.720001,39.639999,40.240002,6143800,35.855951
"303",39.619999,40.66,38.290001,38.43,5579000,34.243145
"304",39.560001,39.759998,37.880001,38.060001,6601900,33.913457
"305",38.34,40.880001,37.900002,40.779999,5687400,36.337117
"306",40.790001,43.040001,40.599998,42.93,6507800,38.252881
"307",42.98,43.220001,40.490002,40.669998,4852000,36.2391
"308",39.400002,41.919998,38.75,41.259998,5437700,36.764822
"309",42.02,43.560001,41.990002,43.48,2913000,38.742959
"310",43.02,44.189999,42.619999,43.68,3090200,38.92117
"311",44.240002,45.369999,43.990002,44.560001,5135500,39.705297
"312",44.380001,45.619999,43.240002,43.349998,4495200,38.627121
"313",42.150002,42.610001,41.810001,42.040001,3698900,37.459845
"314",40.18,41.150002,39.82,40.939999,3531800,36.479685
"315",41.950001,42.639999,41.32,42.439999,3080400,37.816264
"316",41.91,42.310001,40.759998,41.139999,3089300,36.657896
"317",40.529999,40.639999,39.09,39.619999,4389900,35.303496
"318",39.119999,40.709999,38.860001,40.639999,5719500,36.21237
"319",40.59,42.240002,40.259998,41.849998,4372000,37.290543
"320",42.279999,44.310001,42.240002,43.43,6465800,38.698407
"321",44,45.400002,43.860001,45.049999,6024100,40.141911
"322",45.169998,45.790001,44.529999,45.459999,4231500,40.507242
"323",44.310001,45.009998,43.669998,44.700001,2386800,39.830044
"324",45.009998,45.68,43.959999,44,2222100,39.206307
"325",44.290001,45.029999,41.98,42.029999,2643600,37.450932
"326",40.200001,40.709999,38.630001,39.549999,6222700,35.241123
"327",39.209999,40.73,38.970001,39.720001,4139500,35.392603
"328",40.389999,40.549999,38.369999,40.490002,3498000,36.078714
"329",42.07,43.25,41.740002,42.09,3919700,37.504397
"330",42.150002,42.470001,40.470001,40.830002,2637300,36.381672
"331",41.970001,42.279999,39.889999,41.02,2864500,36.550971
"332",40.080002,40.400002,38.75,38.82,3333900,34.590655
"333",39.32,39.84,36.810001,36.900002,4394000,32.879836
"334",36.150002,38.830002,35.779999,38.77,4100000,34.546103
"335",38.93,40.080002,38.130001,39.91,3893400,35.561902
"336",39.860001,41.52,39.139999,41.490002,3718400,36.969767
"337",41.889999,42.09,40.200001,40.93,2751100,36.470776
"338",42.09,44.32,41.93,43.880001,4377100,39.099381
"339",43.599998,44.610001,43.450001,43.75,3292200,38.983544
"340",44.150002,46.610001,44.029999,46.02,5175000,41.006233
"341",45.400002,46.970001,45.16,46.5,4681800,41.433938
"342",47.25,47.5,45.91,47.32,2928700,42.1646
"343",47.009998,47.23,44.98,45.310001,2574800,40.373587
"344",45.279999,47.959999,44.849998,46.93,4324600,41.817091
"345",46.880001,47.060001,46.040001,46.209999,3658600,41.175532
"346",45.970001,46.82,45.349998,46.490002,2360600,41.425029
"347",47.279999,48.240002,47.139999,48.23,4263100,42.975458
"348",48.490002,50.509998,48.299999,50.150002,4479400,44.68628
"349",50.240002,50.240002,48.639999,48.919998,2967600,43.590283
"350",49.900002,50.169998,48.139999,49.529999,4072200,44.133826
"351",51.700001,54.150002,50.75,52.599998,6726400,46.869356
"352",52.75,53.139999,51.630001,51.98,3438000,46.316905
"353",51.240002,51.5,50.080002,50.110001,3605000,44.650638
"354",47.299999,49.080002,47.169998,48.310001,5205300,43.046744
"355",49.400002,52.049999,48.970001,50.849998,5644100,45.310014
"356",51.98,52.209999,49.540001,51.119999,3302700,45.550599
"357",50.279999,51.110001,49.779999,50.630001,1659600,45.113985
"358",50.720001,50.939999,49.73,50.740002,1410800,45.212002
"359",50.880001,51.240002,49.599998,51.150002,1844900,45.577333
"360",49.290001,49.919998,48.310001,48.5,2566900,43.216043
"361",49.43,49.5,48.029999,48.84,2589800,43.519001
"362",49.549999,51.369999,49.470001,50.240002,3151500,44.766475
"363",50.009998,50.400002,49.119999,49.41,1660100,44.0269
"364",49.189999,50.110001,48.849998,49.75,2209500,44.329858
"365",49.080002,49.990002,48.560001,48.689999,2906100,43.385341
"366",48.48,49.02,47.709999,48.189999,2982700,42.939815
"367",48.619999,49.41,48.369999,49.080002,3172300,43.732855
"368",47.900002,47.93,47.139999,47.630001,4212500,42.440828
"369",47.110001,47.419998,44.77,45.389999,6314800,40.444869
"370",44.700001,44.900002,43.490002,44.139999,3828200,39.331053
"371",43.849998,44.610001,43.34,43.41,1394200,38.680586
"372",45.040001,46.18,44.52,45.939999,2636400,40.934947
"373",46.209999,46.290001,45.209999,45.299999,2636000,40.364674
"374",47.419998,47.709999,47,47.68,3980100,42.48538
"375",47.41,47.75,46.900002,47.240002,2489700,42.093318
"376",48,49.049999,47.75,48.43,3855200,43.153669
"377",49.330002,50,48.77,49.700001,3133200,44.285306
"378",49.66,49.799999,48.689999,48.900002,1829500,43.572465
"379",48.73,49.139999,48.139999,48.849998,2516600,43.52791
"380",48.380001,48.759998,47.029999,47.200001,2905800,42.057675
"381",47.459999,48.619999,47.439999,48.369999,2042200,43.100205
"382",47.709999,48.209999,46.630001,48.150002,2999700,42.904176
"383",47.779999,48.32,44.959999,45.450001,4790800,40.923288
"384",44.970001,45.529999,44.310001,45.080002,4467100,40.59014
"385",45.68,46.029999,45.080002,45.16,2527300,40.662171
"386",45.560001,46.360001,45.080002,45.419998,2979400,40.896274
"387",45.830002,46.110001,44.130001,44.32,2148900,39.905833
"388",45.150002,46.990002,45.150002,46.700001,2801300,42.048791
"389",46.700001,47.060001,46.099998,46.889999,1745000,42.219866
"390",47,47.860001,47,47.720001,1435500,42.967202
"391",47.93,48.82,47.880001,48.75,1570300,43.894615
"392",48.619999,49.59,48.5,49.259998,1414700,44.353819
"393",49.16,49.25,47.959999,48.080002,2307000,43.291347
"394",48.099998,48.669998,48.009998,48.52,1437600,43.687523
"395",48.689999,48.810001,47.970001,47.970001,1454400,43.192303
"396",49.25,49.990002,48.91,49.43,2205000,44.506889
"397",49.34,49.720001,48.41,49.439999,1946400,44.515892
"398",48.98,50.73,48.23,50.650002,3397100,45.605381
"399",50.619999,50.619999,49.91,50.419998,3066000,45.398286
"400",50.34,51.619999,50.290001,51.41,3287700,46.289686
"401",51.349998,52.310001,51.18,51.939999,3774700,46.766898
"402",52.02,52.830002,51.720001,52.439999,3136300,47.217099
"403",52.439999,52.779999,51.52,52.610001,2702300,47.370169
"404",51.599998,52.25,50.790001,51.310001,3703800,46.199647
"405",52,52.119999,50.439999,50.630001,3515600,45.587373
"406",50.720001,52.130001,50.599998,51.970001,3423700,46.793912
"407",52.209999,53.349998,52.02,53.299999,3153100,47.991445
"408",53.299999,53.560001,52.630001,53.549999,2348500,48.216546
"409",53.52,54.299999,53.060001,54.009998,2733000,48.63073
"410",53.360001,54.73,53.110001,54.52,2293900,49.089937
"411",54.25,55.220001,54.040001,54.779999,2937300,49.324041
"412",55.02,55.150002,53.560001,53.740002,2102800,48.387625
"413",53.5,54.610001,53.360001,54.360001,2071400,48.945873
"414",53.580002,54.66,53.189999,54.189999,2170900,48.792803
"415",54.41,54.450001,53.830002,54.240002,2219700,48.837826
"416",54.68,55.389999,54.119999,55.049999,2917300,49.56715
"417",53.43,54.639999,52.009998,54.220001,6416100,48.819817
"418",54.900002,56.84,54.810001,56.720001,3999700,51.070823
"419",56.380001,57.93,56.290001,57.290001,3865400,51.584052
"420",56.939999,57.369999,56.220001,56.25,3203600,50.647633
"421",56.419998,56.849998,56.099998,56.810001,1956600,51.15186
"422",56.799999,56.889999,56.09,56.73,2167900,51.079826
"423",56.119999,56.119999,55.299999,55.669998,1732900,50.125398
"424",56.110001,56.299999,55.099998,55.709999,2345200,50.161415
"425",55.23,55.549999,54.810001,55.290001,1710000,49.783248
"426",55.400002,55.459999,53.630001,53.740002,2896200,48.387625
"427",53.82,54.450001,53.450001,54.360001,2031600,48.945873
"428",54.669998,55.23,54.650002,55.060001,1817000,49.576156
"429",55.189999,55.509998,53.93,54.110001,1831200,48.720773
"430",54.009998,54.419998,53.41,53.68,1470200,48.333599
"431",53.68,54.32,53.18,54.119999,1215900,48.729775
"432",54.279999,55.299999,54.259998,54.990002,2759100,49.513128
"433",54.07,55.610001,53.860001,55.240002,2559400,49.738228
"434",55.09,55.400002,54.720001,54.970001,2215300,49.495119
"435",54.25,54.98,53.880001,53.900002,2906600,48.531689
"436",53.869999,54.830002,53.799999,54.490002,1601600,49.062926
"437",54.290001,54.900002,54.049999,54.189999,1460000,48.792803
"438",54.07,54.939999,53.889999,54.369999,2949500,48.954876
"439",53.709999,53.91,52.68,52.900002,3205000,47.631287
"440",53.040001,53.560001,52.970001,53.419998,1968500,48.099493
"441",53.77,54.490002,53.73,54.130001,2037900,48.738781
"442",54.330002,55.380001,54.259998,54.889999,3236500,49.423085
"443",54.889999,55.240002,54.310001,54.5,1909400,49.071929
"444",55.049999,57.450001,55.049999,57.349998,3504800,51.638074
"445",57.299999,57.490002,56.09,56.439999,2182700,50.818708
"446",56.580002,56.580002,55.900002,56.07,2696300,50.48556
"447",56.02,56.360001,55.689999,56.029999,2660200,50.449544
"448",55.900002,56.950001,55.23,56.810001,2341900,51.15186
