"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"51",64.910004,65.169998,64.379997,65.099998,4976900,56.84405
"52",65.690002,66.18,65.190002,65.220001,3380500,56.948834
"53",64.440002,64.800003,63.709999,63.849998,6716100,55.752574
"54",63.34,63.650002,62.610001,63.349998,4544700,55.315984
"55",63.549999,64.260002,63.32,63.43,3493900,55.38584
"56",63.919998,64.690002,63.32,64.470001,3802800,56.293948
"57",64.199997,64.870003,63.889999,63.939999,3007100,55.831161
"58",63.610001,64.260002,63.279999,63.799999,3966400,55.708916
"59",64.839996,66.5,64.400002,66.190002,6207400,57.79582
"60",66.519997,67.449997,66.519997,67.120003,4991400,58.607878
"61",67.5,68.339996,67.309998,67.639999,4317900,59.061929
"62",67.220001,67.480003,66.730003,67.080002,3024600,58.57295
"63",67.099998,68.330002,67.099998,67.559998,3622200,58.992073
"64",68.419998,68.639999,67.470001,67.650002,3312000,59.070663
"65",67.849998,68.089996,67.550003,67.760002,3600200,59.166713
"66",68.389999,69.5,67.269997,67.529999,4532000,58.965879
"67",67.540001,67.82,67.400002,67.449997,3912000,58.896023
"68",67.309998,67.769997,66.970001,67.660004,4227300,59.079396
"69",66.870003,66.989998,66.220001,66.720001,5561000,58.258605
"70",66.849998,67.040001,66.099998,66.68,5438000,58.223677
"71",67.059998,67.300003,66.57,66.900002,3417500,58.415777
"72",67.449997,67.449997,66.790001,66.989998,3937400,58.49436
"73",66.970001,67.980003,66.970001,67.519997,6831000,58.957145
"74",66.879997,67.239998,66.040001,66.389999,4042800,57.970453
"75",66.93,67.540001,66.93,67.269997,4637500,58.73885
"76",67.419998,67.68,67.080002,67.080002,3187800,58.57295
"77",67.339996,67.529999,66.379997,67.18,3699700,58.660267
"78",66.830002,67.07,66.239998,66.739998,4560200,58.276065
"79",67.110001,68,66.650002,66.690002,4538900,58.23241
"80",67.160004,67.43,66.169998,66.440002,3910900,58.014115
"81",66.25,66.629997,65.440002,66.120003,3936300,57.734698
"82",66.879997,68.279999,66.510002,67.879997,7262300,59.271491
"83",68,68.150002,67.699997,67.809998,3600600,59.210368
"84",68.190002,68.279999,67.019997,67.370003,3442600,58.826173
"85",67.559998,67.75,66.919998,67.529999,4287200,58.965879
"86",67.449997,67.599998,66.959999,67.349998,2811700,58.808706
"87",67.099998,67.449997,66.260002,67.239998,3010600,58.712656
"88",67.910004,69.449997,67.730003,68.660004,8406100,59.952577
"89",68.550003,69.400002,68.529999,69.400002,5099000,60.598729
"90",69.709999,69.910004,69,69.309998,5733000,60.520139
"91",69.440002,69.75,68.730003,69.5,3982700,60.686045
"92",68.830002,69.089996,67.690002,68.739998,4388600,60.022426
"93",68.739998,69.889999,68.739998,69.650002,4773000,60.817024
