"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"939",123.309998,124.18,123.110001,124,680100,120.722583
"940",123.809998,123.860001,123.220001,123.489998,611400,120.22606
"941",124.110001,124.360001,122.699997,123.459999,695300,120.196854
"942",124.18,124.779999,123.760002,124.720001,1075200,121.423554
"943",125.199997,125.199997,123.25,123.739998,612300,120.469453
"944",125.599998,125.599998,121.389999,122.07,603700,118.843594
"945",121.220001,121.82,120.599998,121.800003,693500,118.580733
"946",122.290001,122.68,119.190002,120.25,1076300,117.071698
"947",120.139999,121.160004,119.57,120,1081800,116.828306
"948",120.940002,122.669998,120.940002,122.25,601800,119.018836
"949",122.519997,123.470001,122.330002,123.279999,521700,120.021612
"950",123.18,123.800003,121.43,122.230003,451800,118.999368
"951",122.029999,123.5,121.82,122.800003,543900,119.554302
"952",124.220001,124.739998,122.959999,123.040001,1021200,119.787957
"953",123.699997,124.360001,121.779999,122.129997,778700,118.902005
"954",123.269997,124.769997,122.25,123.669998,793500,120.401303
"955",124.459999,124.599998,122.160004,122.169998,603300,118.940949
"956",122.019997,122.57,121.07,121.779999,745600,118.561258
"957",122.120003,124.669998,121.510002,124.25,776600,120.965975
"958",125.419998,125.660004,124.470001,124.550003,799700,121.258049
"959",124.790001,125.370003,124.120003,124.839996,963400,121.540377
"960",125.190002,126.690002,124.82,126.099998,1096000,122.767076
"961",126.220001,127.120003,125.769997,126.879997,545500,123.526459
"962",127.730003,128.130005,124.269997,124.510002,686300,121.219105
"963",124.169998,124.43,121.57,121.989998,533600,118.765706
"964",121.989998,123.309998,121.309998,122.970001,637000,119.719807
"965",123.389999,124.059998,122.5,123.940002,527500,120.664171
"966",123.879997,124.199997,121.360001,121.57,525100,118.356809
"967",121.120003,122.190002,120.139999,120.800003,879600,117.607164
"968",122.089996,122.389999,120.349998,121.449997,557400,118.239978
"969",121.540001,122.709999,119.849998,122.43,891700,119.194079
"970",123.589996,125.730003,122.970001,125.699997,589800,122.377647
"971",125.949997,127.400002,125.339996,127.019997,664100,123.662758
"972",127,128.029999,125.110001,127.75,593200,124.373467
"973",127.849998,128.460007,127.610001,127.669998,512000,124.29558
"974",127.790001,128.110001,126.849998,127.160004,556200,123.799065
"975",128.190002,128.259995,126.599998,127.639999,567600,124.266374
"976",127.470001,127.470001,124.610001,125.099998,731900,121.793507
"977",125.510002,125.82,122.410004,124.529999,961000,121.238573
"978",122.110001,123,115.209999,115.629997,2329100,112.573806
"979",115.830002,120.5,115.660004,119.18,1713200,116.029979
"980",118.709999,120.910004,118.400002,120.220001,1100200,117.042492
"981",119.919998,120.730003,119.25,119.57,742200,116.409671
"982",118.970001,120.199997,118.57,119.839996,531700,116.672531
"983",119.260002,119.839996,118.690002,118.82,643100,115.679494
"984",119.18,120.300003,118.099998,119.580002,633300,116.419408
"985",119.230003,120.360001,118.019997,118.349998,879100,115.783501
"986",118.389999,118.730003,116.330002,117.889999,741900,115.333477
"987",118.589996,121.660004,118.589996,121.419998,715700,118.786925
"988",121.779999,122,120.580002,120.690002,587400,118.07276
"989",120.580002,121.419998,119.389999,119.629997,1005300,117.035742
"990",119.720001,120.019997,117.300003,119.769997,806100,117.172705
"991",119.93,120.360001,118.470001,120.190002,696000,117.583603
"992",119.470001,121.629997,119.43,121.419998,507300,118.786925
"993",121.220001,121.68,118.040001,118.910004,668400,116.331362
"994",119.269997,120.349998,118.330002,119.599998,616600,117.006394
"995",119.419998,121.199997,119.419998,119.879997,517200,117.28032
"996",119.529999,121.440002,119.529999,121.260002,364800,118.630399
"997",122.209999,122.900002,121.440002,122.290001,499100,119.638062
"998",122.690002,122.980003,121.07,121.139999,407800,118.512999
"999",121.199997,121.290001,120.040001,120.370003,654100,117.7597
"1000",120.699997,121.330002,120.230003,121.080002,450700,118.454302
"1001",121.050003,123,120.940002,122.660004,722700,120.000041
