"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"197",88.379997,88.379997,86.529999,86.82,612500,77.013668
"198",86.769997,87.459999,86.209999,86.349998,426100,76.596754
"199",86,86.790001,85.080002,86.449997,615200,76.685457
"200",86.75,87.230003,86,86.980003,591400,77.155599
"201",87.029999,88.080002,86.629997,87.540001,409500,77.652345
"202",87.93,88.050003,87.110001,87.220001,543400,77.368489
"203",87.07,87.620003,86.739998,87.519997,299800,77.6346
"204",87.949997,88.919998,87.629997,88.510002,421300,78.512784
"205",88.599998,88.959999,87.160004,88.470001,909800,78.477302
"206",89.099998,89.970001,88.739998,89.690002,860400,79.559504
"207",89.769997,89.849998,89.040001,89.32,639600,79.231293
"208",89.029999,89.419998,88.610001,88.690002,622700,78.672454
"209",89.050003,89.949997,88.760002,89.790001,607900,79.648207
"210",89.720001,89.720001,88.07,88.25,729400,78.28215
"211",88.75,88.75,87.57,87.699997,593500,77.794269
"212",87.75,88.209999,87.620003,87.75,702300,77.838625
"213",87.349998,87.690002,86.82,87.160004,599600,77.315269
"214",87.400002,87.540001,85.93,85.940002,826000,76.233067
"215",85.709999,85.709999,85.050003,85.199997,917500,75.576645
"216",85.489998,85.720001,84.620003,85.349998,1405800,75.709704
"217",84.529999,88,84.529999,87.209999,1693700,77.359617
"218",87.610001,87.870003,85.389999,85.419998,747400,75.771797
"219",86.370003,86.529999,85.209999,85.82,1058200,76.126618
"220",85.940002,86.43,85,85.830002,713400,76.135491
"221",85.779999,86.559998,85.650002,86.120003,408800,76.392736
"222",86.410004,87.589996,86.349998,87.220001,540600,77.368489
"223",87.620003,90.760002,87.389999,89.650002,1722900,79.524021
"224",89.339996,89.559998,88.239998,88.910004,800900,78.867606
"225",88.889999,89,88.25,88.370003,465000,78.388598
"226",88.519997,88.519997,87.620003,87.739998,803000,77.829752
"227",87.540001,88.589996,87.019997,88.5,990000,78.503912
"228",88.489998,88.510002,86.809998,86.970001,1027500,77.146727
"229",86.589996,86.879997,85.889999,86.150002,659800,76.419346
"230",86.949997,87.169998,86.019997,86.43,625200,76.667719
"231",86.5,86.610001,85.879997,86.489998,395000,76.72094
"232",86.690002,87.769997,86.43,87.769997,427500,77.856363
"233",87.379997,87.800003,87.07,87.349998,498800,77.483803
"234",87.339996,87.989998,86.839996,87.720001,560000,77.812014
"235",87.800003,88,85.910004,86.389999,1964200,76.632236
"236",86.309998,86.940002,86.099998,86.410004,811500,76.649981
"237",86.25,88.040001,86.230003,87.970001,919300,78.033777
"238",87.839996,89.389999,87.599998,89.379997,809200,79.284513
"239",89.68,89.900002,88.75,89.169998,758200,79.098234
"240",88.970001,89.190002,87.870003,88.040001,779800,78.09587
"241",87.139999,88.440002,87.080002,87.290001,574100,77.430583
"242",87.800003,87.839996,86.300003,87.410004,814300,77.537031
"243",87,87.470001,86.529999,86.940002,749200,77.120116
"244",86.940002,87.400002,86.129997,86.860001,566800,77.049151
"245",86.559998,87.650002,86.43,87.620003,534800,78.354765
"246",88.5,88.650002,87.419998,88.300003,1459900,78.96286
"247",88.129997,88.160004,85.800003,85.879997,1031500,76.798754
"248",85.940002,86.900002,85.57,86.43,799900,77.290598
"249",85.459999,86.379997,85.150002,85.790001,651700,76.718274
"250",85.57,85.800003,84.610001,84.779999,864900,75.815073
"251",85.169998,86.309998,84.879997,85.419998,727500,76.387396
"252",85.169998,85.809998,84.760002,85.010002,686400,76.020755
"253",85.290001,86.059998,84.559998,85.43,457700,76.396341
"254",85.18,85.18,83.309998,84.410004,1068100,75.484202
"255",84.620003,85.510002,83.830002,85.169998,864700,76.163832
"256",85.989998,87.57,85.910004,86.889999,924100,77.701955
"257",86.160004,86.669998,85.480003,86.040001,950800,76.941838
"258",86.040001,87.769997,85.790001,87.639999,1114800,78.372647
"259",88.370003,88.459999,87.059998,88.019997,1303300,78.712462
"260",87.68,88.32,87.279999,87.800003,528800,78.515731
"261",88.239998,88.400002,87.129997,88.099998,858100,78.784004
"262",87.900002,88.230003,87.239998,87.32,981100,78.086485
"263",86.400002,86.910004,85.809998,86.279999,1113600,77.156458
"264",86.470001,86.720001,85.279999,85.32,3558000,76.297972
"265",85.230003,87.610001,85.230003,86.720001,936000,77.549933
"266",86.910004,86.910004,85.68,86.419998,665500,77.281653
"267",86.93,87.769997,85.849998,87.620003,950400,78.354765
"268",87.739998,88.300003,87.18,87.949997,583200,78.649865
"269",88,89.129997,87.779999,89.029999,512900,79.615663
"270",88.75,88.75,87.379997,88,601500,78.69458
"271",87.720001,88.809998,87.220001,88.440002,664800,79.088055
"272",89.089996,90,89.029999,89.239998,824700,79.803456
"273",88.089996,88.449997,87.25,87.559998,971200,78.301105
"274",86.559998,87.32,85.93,86.169998,848500,77.058089
"275",87.160004,88.290001,86.760002,87.449997,1541400,78.202736
"276",87.940002,88.209999,86.959999,87.080002,1028100,77.871866
"277",87.459999,87.459999,85.540001,86,1079100,76.906067
"278",86.339996,86.480003,85.239998,85.559998,971200,76.512592
"279",85.279999,85.650002,84.349998,84.849998,809900,75.87767
"280",85.129997,86.940002,84.860001,86.800003,1007200,77.621475
"281",87.32,88,85.93,87.139999,971600,77.925519
"282",87.760002,88.660004,87.459999,88.57,1215900,79.204306
"283",88.68,89.169998,87.199997,89.080002,973800,79.660379
"284",88.190002,89.129997,88.07,88.550003,1008300,79.186424
"285",88.650002,89.379997,88.129997,88.25,630000,78.918144
"286",87.970001,88.510002,87.050003,87.139999,745200,77.925519
"287",87.239998,87.889999,86.220001,86.32,489300,77.192229
"288",85.709999,86.550003,85.220001,86.239998,738100,77.120687
"289",87.129997,87.800003,85.650002,87.5,1303600,78.247452
"290",86.93,87.190002,85.559998,85.610001,1084900,76.557307
"291",85.669998,86.089996,83.559998,84.32,1623700,75.403716
"292",83.75,83.970001,80.790001,81.080002,1542400,72.506326
"293",81.889999,81.980003,78.290001,78.650002,3279600,70.333282
"294",77.07,78.620003,72.360001,72.559998,2044300,64.887256
"295",73.830002,75.720001,70.620003,75.510002,2482600,67.525317
"296",73.779999,73.779999,70.300003,70.389999,2104200,62.946721
"297",70.910004,75.419998,70.910004,74.519997,1642600,66.639998
"298",74.989998,75.989998,72.779999,73.040001,1580700,65.316502
"299",73.779999,74.82,73.68,74.800003,883800,66.890396
"300",73.93,74.809998,73.019997,73.650002,772200,65.861999
"301",73.989998,75.239998,73.849998,74.330002,814000,66.470094
"302",72.25,72.660004,71.019997,71.559998,1559300,63.993
"303",70.029999,72.410004,69.809998,69.860001,1168000,62.472766
"304",71.199997,71.470001,69.769997,69.970001,912600,62.571135
"305",70.290001,72.589996,69.230003,72.580002,1189300,64.905145
"306",72.370003,74.459999,72,74.169998,1072300,66.32701
"307",75.660004,77,72.550003,73.160004,1663200,65.423816
"308",72.730003,74.839996,71.529999,74.389999,1039900,66.523747
"309",75.120003,76.889999,74.940002,76.830002,923000,68.705736
"310",75.75,76.18,74.419998,75.5,1110600,68.137173
"311",76.129997,76.839996,75.300003,76.07,915900,68.651586
"312",76.089996,76.370003,74.309998,74.370003,931300,67.117374
"313",72.75,73.970001,72.169998,72.290001,920700,65.240216
"314",70.309998,71.639999,69.769997,71.610001,926500,64.62653
"315",72.830002,76.120003,72.260002,75.589996,1131700,68.218393
"316",74.760002,75.150002,72.980003,73.269997,927600,66.124642
"317",72.330002,73.169998,70.449997,70.5,1533700,63.624777
"318",69.489998,72.970001,69.489998,72.349998,1226600,65.294362
"319",72.660004,74.040001,72.059998,72.690002,823200,65.601209
"320",73.169998,73.919998,71.660004,72.940002,1325400,65.826829
"321",73.800003,74.639999,73.449997,74.629997,935700,67.352014
"322",74.900002,75,72.919998,74.150002,1232900,66.918828
"323",72.889999,72.93,71.5,72.019997,930000,64.996543
"324",72.480003,73.239998,71.699997,71.830002,867900,64.825076
"325",72.080002,72.32,68.279999,68.290001,1121500,61.630299
"326",66.889999,68.639999,66.410004,67.900002,1703500,61.278333
"327",67.650002,69.080002,67.650002,69.010002,1499600,62.280085
"328",69.809998,73.559998,69.790001,73.389999,1271800,66.232941
"329",74.800003,75.040001,72.230003,72.75,1063400,65.655355
"330",72.800003,73.139999,70.18,70.279999,1072200,63.426231
"331",71.839996,72.900002,70.07,72.050003,986100,65.023623
"332",71.269997,72.18,69.900002,69.900002,1061600,63.083291
"333",69.660004,71,68.5,68.519997,1232900,61.837866
"334",67.589996,70.029999,66.400002,69.839996,1700000,63.029138
"335",69.809998,70.339996,68.25,70.07,1016100,63.236711
"336",69.980003,72.959999,69.25,72.879997,850600,65.772675
"337",73.379997,73.449997,70.720001,70.82,1259900,63.91357
"338",72.550003,73.949997,71.839996,73.949997,775400,66.738328
"339",72.82,74.190002,72.019997,73.910004,781500,66.702234
"340",74.690002,76.779999,74.669998,75.900002,1135600,68.498166
"341",75.089996,76.720001,73.269997,75.889999,1334200,68.489139
"342",76.959999,77.379997,74.75,75.720001,1206600,68.335719
"343",75.059998,75.360001,73.529999,73.75,1208800,66.557835
"344",74.040001,77.82,73.800003,77.07,1055400,69.554065
"345",75.220001,75.239998,70.209999,72.790001,4403100,65.691455
"346",73.639999,74.269997,71.410004,73.480003,1650700,66.314168
"347",74.150002,75.040001,73.57,74.940002,2528900,67.631787
"348",75.230003,76.690002,74.75,76.489998,1015100,69.030625
"349",76.010002,76.260002,74.769997,74.959999,1010700,67.649833
"350",76.25,76.910004,75.279999,76.529999,816900,69.066725
"351",79.220001,80.019997,77.209999,79.239998,1375800,71.512443
"352",79.099998,79.330002,77.870003,78.300003,762300,70.664117
"353",77.269997,78,76.089996,76.110001,1253500,68.687686
"354",73.669998,74.349998,72.139999,72.309998,1416400,65.258262
"355",73.540001,74.139999,72.510002,73.129997,2381600,65.998295
"356",74.230003,74.279999,71.5,73.129997,2364800,65.998295
"357",72.529999,72.639999,71.580002,72.099998,1117300,65.068743
"358",72.099998,72.629997,71.410004,71.75,1323200,64.752876
"359",72.550003,74.040001,71.839996,73.830002,1138500,66.630035
"360",71.919998,72.309998,70.290001,70.57,1767900,63.687951
"361",71.629997,72.57,71.010002,72.370003,1296600,65.312416
"362",73.379997,74.330002,73.209999,73.910004,993000,66.702234
"363",73.279999,73.360001,71.559998,72.010002,714400,64.987523
"364",71.669998,73.019997,71.620003,72.760002,815100,65.664382
"365",71.93,73.82,71.709999,71.940002,896800,64.92435
"366",71.860001,73.169998,70.75,71.080002,816200,64.148217
"367",71.650002,71.989998,71.139999,71.760002,560400,64.761903
"368",70.779999,71.139999,69.559998,70.089996,894600,63.254758
"369",69.830002,70.510002,69.389999,69.580002,666100,62.794498
"370",69.059998,69.099998,67.370003,67.43,1089800,60.854167
"371",67.43,68.690002,67.230003,67.699997,302700,61.097833
"372",70.160004,70.279999,68.230003,68.860001,772300,62.144712
"373",68.389999,69.089996,67.910004,68.349998,771600,62.317941
"374",70.959999,73.139999,70.010002,72.980003,1454800,66.539337
"375",72.860001,73.32,71.93,72.910004,985400,66.475515
"376",73.739998,74.989998,73.599998,73.879997,890200,67.359904
"377",75.019997,75.739998,74.639999,75.540001,1121000,68.873408
"378",75.169998,75.889999,74.459999,75.089996,886300,68.463118
"379",74.400002,75.110001,73.459999,74.639999,1622000,68.052834
"380",74.019997,74.209999,71.730003,71.959999,1220800,65.60935
"381",72.699997,73.470001,72.480003,73.010002,881700,66.566688
"382",71.830002,72.300003,71.199997,71.849998,777400,65.509058
"383",72.580002,73.019997,70.389999,70.970001,992600,64.706722
"384",70.639999,72.139999,70.5,71.220001,1117100,64.934659
"385",72.400002,72.440002,71.379997,71.739998,729900,65.408765
"386",72.440002,73.860001,72.169998,72.75,1426100,66.329632
"387",73.050003,73.099998,71.010002,71.300003,491000,65.007601
"388",72.589996,75.290001,72.540001,75.099998,1162800,68.472237
"389",75,76.07,74.599998,75.830002,758300,69.137816
"390",75.839996,76.889999,75.639999,76.540001,694900,69.785156
"391",76.669998,77.080002,75.989998,76.889999,365500,70.104266
"392",76.480003,77.339996,76.269997,76.589996,342700,69.830739
"393",76.889999,76.940002,75.639999,75.800003,400700,69.110464
"394",76.190002,76.980003,75.910004,76.940002,372400,70.149856
"395",77.129997,77.129997,76.25,76.339996,390900,69.602802
"396",77.849998,78.720001,77.32,78.040001,800900,71.152777
"397",77.519997,78.510002,76.82,78.029999,613400,71.143657
