"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"758",805.429993,815.890015,803.48999,814.820007,460500,814.820007
"759",812.599976,817.48999,810.469971,815.75,572400,815.75
"760",822,831.090027,818.599976,825.539978,822500,825.539978
"761",829.080017,839.450012,826.52002,834.820007,634300,834.820007
"762",834,839.669983,827.52002,828.549988,591300,828.549988
"763",822.5,830.380005,812.450012,815.690002,873300,815.690002
"764",820.73999,823.859985,805.219971,813.049988,1026100,813.049988
"765",805.25,812,791.150024,805.01001,869100,805.01001
"766",813.679993,817.549988,805.030029,809.570007,476300,809.570007
"767",815.799988,823.859985,814.450012,819.559998,583600,819.559998
"768",825.5,828.059998,819.900024,822.390015,533400,822.390015
"769",819.72998,830,819.72998,826.669983,509400,826.669983
"770",832,844.98999,831.109985,840.72998,529200,840.72998
"771",843.109985,854.599976,838.200012,841.059998,453200,841.059998
"772",836.47998,847.330017,836.099976,845.400024,193800,845.400024
"773",850.48999,856.119995,840,855.159973,462300,855.159973
"774",874.659973,889.400024,872.200012,888.630005,1161700,888.630005
"775",891.5,900.400024,880.099976,897.059998,908400,897.059998
"776",894.429993,897,886.48999,892.320007,522100,892.320007
"777",900.849976,912.859985,895.599976,910.349976,816700,910.349976
"778",908.710022,920.919983,907.47998,920.390015,663400,920.390015
"779",922.5,926.400024,910.700012,911.659973,581200,911.659973
"780",915,916.119995,892.140015,902.049988,675700,902.049988
"781",904.77002,912.799988,900.02002,906.679993,538900,906.679993
"782",903.400024,904,893.01001,899.599976,502100,899.599976
"783",900.52002,900.52002,889,896.289978,718500,896.289978
"784",901.099976,908,898.320007,900.47998,469000,900.47998
"785",903.200012,906.950012,890.799988,895.789978,367600,895.789978
"786",901.369995,905.640015,892.099976,894.02002,445600,894.02002
"787",902.690002,919.390015,900.609985,912,957600,912
"788",885.659973,907.25,884,900.080017,1020500,900.080017
"789",900.590027,904.690002,886.669983,888.109985,444800,888.109985
"790",894.719971,898.72998,881,886.859985,491100,886.859985
"791",890.169983,890.169983,875.190002,875.669983,654300,875.669983
"792",885.73999,906.530029,883.280029,904.349976,1007800,904.349976
"793",907.23999,913.820007,899.23999,908.359985,673800,908.359985
"794",914.900024,930.73999,910.26001,928.580017,704500,928.580017
"795",935.659973,940,923.359985,935.380005,934000,935.380005
"796",931.789978,932.719971,912.72998,927.580017,869600,927.580017
"797",936.049988,937,915.929993,933.75,1329400,933.75
"798",992.030029,994.97998,969.450012,969.890015,2619700,969.890015
"799",966.320007,969.659973,956.900024,958.02002,714100,958.02002
"800",960.429993,963.369995,948.98999,953.609985,670500,953.609985
"801",950.22998,958.969971,938.97998,940,835700,940
"802",935.22998,943.409973,928.799988,938.789978,823200,938.789978
"803",940.200012,949,937.01001,940.070007,820700,940.070007
"804",934,947,931.900024,933.130005,467000,933.130005
"805",933.469971,942.150024,932.619995,932.77002,342300,932.77002
"806",936.48999,951,932,940.200012,537200,940.200012
"807",945.289978,954.429993,943.51001,952.150024,369200,952.150024
"808",956.5,956.869995,951.099976,954.22998,378600,954.22998
"809",952.309998,961.23999,948.719971,949.539978,342000,949.539978
"810",939.650024,944.27002,932.109985,935.599976,484600,935.599976
"811",935.77002,939.130005,930.820007,934.609985,306700,934.609985
"812",932.98999,946.890015,932.98999,940.650024,331500,940.650024
"813",942,946.27002,935.070007,938.530029,383100,938.530029
"814",949.400024,953.650024,940.840027,942.830017,441600,942.830017
"815",945,952.619995,937.210022,952.450012,444000,952.450012
