"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"491",79.099993,79.57,78.649999,78.830004,2565200,67.938983
"492",78.859996,78.879993,78.199996,78.639996,2618800,67.775226
"493",78.639996,79.069993,78.48999,78.679998,1945500,67.809701
"494",78.48999,78.800005,78.050006,78.48999,2024300,67.645944
"495",78.480003,79.35,78.440001,79.209997,8068900,68.266476
"496",79.040002,79.710004,79.040002,79.459996,7587100,68.481936
"497",79.629991,79.869996,79.339998,79.76,8443300,68.740492
"498",79.370005,79.920001,79.209997,79.260001,2193400,68.309572
"499",79.35,79.749998,79.140003,79.35,2420500,68.387137
"500",78.889996,78.999999,78.170005,78.279993,2432000,67.46496
"501",78.329997,78.889996,77.799999,78.859996,2584600,67.964831
"502",78.769997,79.269988,78.260004,79.249999,3960100,68.300952
"503",78.849993,80.249997,78.669996,80.23,4527000,69.797291
"504",80.500004,80.8,80.189998,80.59999,4523000,70.119169
"505",80.550001,81.339994,80.399995,81.199998,2440300,70.641156
"506",81.46,81.68,81.02,81.139999,2616600,70.588958
"507",81.279994,81.509997,80.829992,81.509997,2552200,70.910844
"508",81.279994,81.719994,80.949991,81.65,2330400,71.032642
"509",81.879995,82.580004,81.489992,82.570002,2570900,71.833011
"510",82.709989,82.930005,82.360004,82.480003,3402500,71.754715
"511",82.440001,82.790002,82.199996,82.790002,1763800,72.024403
"512",82.959997,83.330003,82.589999,83.209996,2397600,72.389784
"513",82.69,82.83999,81.449997,81.610006,4618300,70.997848
"514",81.739991,81.830006,80.609992,80.710002,2975100,70.214876
"515",81.309994,81.590001,80.870002,81.380004,2081200,70.797754
"516",80.999995,81.309994,80.8,80.999995,1681400,70.46716
"517",81.260005,81.9,80.910004,81.669997,2211700,71.050039
"518",81.970001,82.319994,81.780001,81.859998,1935600,71.215332
"519",81.660003,82.589999,81.299999,82.559999,1980600,71.824309
"520",82.989996,83.769994,82.390004,83.769994,2536400,72.876963
"521",83.449993,83.900003,83.050004,83.900003,1998300,72.990066
"522",83.999997,84.179995,83.789999,83.999997,1523400,73.077057
"523",84.110001,84.209994,83.809989,84.099998,1658600,73.164054
"524",83.749997,84.229999,83.599991,83.910006,1380200,72.998768
"525",83.910006,84.349998,83.749997,84.300001,1583300,73.33805
"526",84.499996,84.769992,84.209994,84.769992,1983400,73.746926
"527",84.699998,84.900001,84.160005,84.349998,2208600,73.381545
"528",84.300001,84.58,84.029988,84.330001,2356400,73.364148
"529",84.470004,85.349996,84.389992,85.21,1672500,74.129717
"530",84.910004,85.739999,84.910004,85.199997,1504000,74.121015
"531",85.719993,86.140004,85.260005,85.820003,2091600,74.660398
"532",85.719993,86.25,85.539996,86.069994,1687400,74.877882
"533",86.079997,86.239997,85.449997,85.879994,1893600,74.712588
"534",85.329998,85.780001,84.639999,84.830007,3398300,73.799137
"535",84.399994,85.099996,84.399994,84.699998,2364200,73.686034
"536",84.639999,84.739993,83.05999,83.490003,3428900,72.63338
"537",83.490003,84.059996,83.219999,83.399996,2589900,72.555077
"538",83.999997,86.25,83.879998,85.719993,2962200,74.573394
"539",85.780001,87.690006,85.260005,87.32,3375900,75.965343
"540",87.120005,87.999996,86.900005,87.930002,2530300,76.496024
"541",87.739994,87.900003,86.890002,86.910007,2695000,75.608664
"542",87.1,87.73,86.890002,87.169994,3498300,75.834843
"543",87.32,87.580002,86.370006,86.88,3090300,75.582559
"544",87.599991,88.250004,85.189995,85.349996,4957700,74.251508
"545",85.449997,85.629995,83.510008,83.710003,5104200,72.824772
"546",84.009999,84.189997,81.289997,82.719992,7306500,71.963497
"547",82.499992,83.659998,82.499992,83.249998,5088500,72.424584
"548",82.999999,83.249998,82.669995,82.849993,2820400,72.076593
"549",82.749999,83.05999,82.660001,82.820001,2315000,72.050502
"550",82.69,82.889995,82.429998,82.48999,2190400,71.763403
"551",82.830004,82.989996,82.449995,82.940008,2348300,72.154903
