"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"265",77.510002,78.349998,77.089996,78.18,6870400,18.770837
"266",78.389999,80.440002,78.389999,80.309998,9388000,19.282245
"267",80.32,80.489998,79.089996,79.339996,8315200,19.04935
"268",79.769997,80.5,79.610001,80.120003,7542400,19.236627
"269",80.370003,81.349998,79.769997,81.269997,6577600,19.512738
"270",81.25,81.720001,80.82,81.199997,7592800,19.495931
"271",81.110001,81.639999,80.57,81.07,10126400,19.464719
"272",81.199997,81.559998,80.160004,81.269997,19776800,19.512738
"273",80.699997,81.160004,79.25,80.080002,13848800,19.227023
"274",79.599998,80.199997,78.610001,78.970001,11692800,18.960515
"275",79.18,79.639999,78.599998,78.82,10305600,18.9245
"276",79.389999,79.980003,78.290001,78.519997,7132800,18.85247
"277",78.760002,79.190002,77.470001,77.769997,7988000,18.672396
"278",77.879997,78.010002,76.919998,77.669998,9023200,18.648387
"279",77.339996,77.669998,77.019997,77.199997,5844800,18.535541
"280",77.800003,78.379997,77.650002,77.730003,6946400,18.662794
"281",77.540001,77.93,76.989998,77.230003,6646400,18.542745
"282",77.639999,79.18,77.639999,77.82,6186400,18.684402
"283",77.620003,78.360001,77.019997,78.160004,5837600,18.766036
"284",77.550003,77.879997,76.239998,76.68,11752800,18.410691
"285",77.160004,77.970001,76.290001,77.589996,10259200,18.629179
"286",77.419998,77.440002,75.18,75.339996,9984000,18.088959
"287",75.669998,77.199997,75.669998,76.139999,8220000,18.281038
"288",75.379997,76.620003,75,75.769997,10769600,18.192201
"289",76.099998,76.970001,75.010002,76.309998,13819200,18.321854
"290",75.650002,76.279999,74.040001,74.059998,9399200,17.781634
"291",74.120003,76.379997,73.769997,76.209999,15422400,18.297844
"292",75.860001,77.260002,74.330002,74.470001,21444800,17.880075
"293",75.400002,76.309998,72.150002,73.559998,17292000,17.661585
"294",72.400002,75.800003,69.019997,69.739998,17435200,16.744412
"295",70.599998,71.449997,67.25,70.989998,24189600,17.044534
"296",69.300003,70.800003,68.339996,68.489998,17426400,16.44429
