"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"259",120.639999,122.989998,119.75,121.550003,1879200,121.550003
"260",121.269997,125.760002,121,125.019997,1769300,125.019997
"261",126,126,123.120003,124.650002,920300,124.650002
"262",123.870003,125.089996,120.940002,122.949997,1502800,122.949997
"263",120.370003,122.690002,116.5,122.449997,2088800,122.449997
"264",121.650002,121.650002,116.290001,116.559998,1703200,116.559998
"265",116.150002,117.699997,115.059998,116.68,1373100,116.68
"266",117.209999,124.660004,117.019997,124.610001,2192900,124.610001
"267",124.269997,129.600006,123.290001,129.419998,2217500,129.419998
"268",134.869995,142.220001,131.5,132.270004,7193000,132.270004
"269",130.660004,133.479996,129.110001,133.059998,1744500,133.059998
"270",132.029999,133.210007,131.210007,132.089996,968700,132.089996
"271",132,133.199997,130.679993,131.529999,1287100,131.529999
"272",132.279999,134.210007,130.240005,132.869995,3083400,132.869995
"273",130.5,132.779999,130.259995,132.600006,1057100,132.600006
"274",130.320007,130.979996,126.550003,126.93,1327700,126.93
"275",126.580002,126.839996,123.25,123.970001,1252900,123.970001
"276",125.43,127.010002,123.550003,125.18,877100,125.18
"277",125.279999,125.32,122.620003,123.190002,1183100,123.190002
"278",123.059998,125.059998,122.349998,124.639999,1330400,124.639999
"279",123.839996,124.379997,121.120003,121.93,782200,121.93
"280",123.129997,125.940002,122.57,123.940002,964500,123.940002
"281",123.830002,124.540001,122.099998,123.360001,864700,123.360001
"282",123.459999,125.25,123.010002,125.199997,811500,125.199997
"283",125.389999,126.139999,123.870003,124.120003,1067000,124.120003
"284",123.470001,124,120.580002,120.599998,1276500,120.599998
"285",121.279999,122.290001,119.519997,120.269997,940400,120.269997
"286",119.68,119.980003,116.339996,116.599998,979400,116.599998
"287",116.550003,119.790001,116,117.650002,1054100,117.650002
"288",116.449997,119.360001,115.620003,118.230003,941100,118.230003
"289",121.349998,123.860001,116.75,117.389999,1337100,117.389999
"290",116.470001,117.93,115,115.040001,1098100,115.040001
"291",115.75,116.349998,112.690002,115.25,1319100,115.25
"292",112.059998,113.919998,107.5,107.940002,2675900,107.940002
"293",105.5,111.690002,99.029999,105.43,4186100,105.43
"294",96.900002,101.389999,96.169998,99.879997,4070900,99.879997
"295",101.400002,102.300003,92.75,99.699997,3765200,99.699997
"296",100.68,107.989998,97.099998,100.360001,3936500,100.360001
"297",101.160004,103.919998,99,103.040001,2980600,103.040001
"298",104.300003,105.540001,103.599998,104.129997,1100800,104.129997
"299",104.309998,106.809998,104.129997,106.099998,1702300,106.099998
"300",104.480003,105.25,102.260002,104.459999,1656800,104.459999
"301",101.089996,101.949997,96.32,99.459999,3467800,99.459999
"302",96.410004,98,94.169998,94.769997,1855400,94.769997
"303",93.43,95.349998,87.82,88.68,3761400,88.68
"304",90.75,91.82,87.290001,87.699997,1933200,87.699997
"305",89.18,95.360001,88.709999,94.330002,2332500,94.330002
"306",94.489998,95.839996,91.120003,95.790001,1188800,95.790001
"307",96.190002,98.459999,95.580002,96.489998,1709400,96.489998
"308",98.410004,101.550003,96.18,100.709999,1642400,100.709999
"309",102.900002,103.599998,100.620003,102.309998,1019300,102.309998
"310",101.620003,102.809998,100.580002,101.93,1316700,101.93
"311",102.379997,103,99.610001,99.980003,1267500,99.980003
"312",99.5,99.5,96.599998,96.940002,1752700,96.940002
"313",94.860001,95.330002,88.82,90.099998,2991600,90.099998
"314",87.209999,89.82,86.139999,87.589996,2756300,87.589996
"315",90,90.330002,88.660004,90.150002,2159600,90.150002
"316",90.18,91.089996,85.959999,86.669998,2325100,86.669998
"317",86.650002,87.989998,82.110001,84.959999,3283800,84.959999
