"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"336",149.029999,152.630005,148,152.229996,819100,143.420532
"337",153.490005,153.669998,149.399994,149.990005,679700,141.310169
"338",154.070007,155.070007,152.309998,154.160004,525100,145.238851
"339",153.75,155.130005,152.630005,154.330002,632200,145.399012
"340",154.979996,160.880005,154.949997,158.820007,811500,149.629183
"341",157.610001,157.649994,154.080002,156.210007,529000,147.170222
"342",158.710007,160.960007,156.740005,157.910004,577900,148.771841
"343",157.639999,157.979996,154.589996,155.089996,611900,146.115026
"344",157.5,167.419998,156.699997,166.300003,1480700,156.676316
"345",166.940002,167.509995,163.110001,163.589996,762900,154.123136
"346",164,165.729996,162.5,165.119995,450200,155.564594
"347",166.130005,168,164.789993,167.639999,530700,157.938767
"348",167.520004,172.330002,167.119995,170.850006,610600,160.963013
"349",169.710007,171.449997,167.220001,168.25,515200,158.513468
"350",170.600006,170.639999,167.139999,169.770004,648500,159.94551
"351",176.119995,177.770004,173.330002,174.179993,637200,164.100295
"352",173.529999,174.929993,172.059998,174.009995,367300,163.940135
"353",172.020004,175.949997,171.289993,171.309998,644300,161.396385
"354",166.009995,172.970001,166,169.630005,674200,159.813612
"355",172,175.229996,171.270004,174.550003,541700,164.448893
"356",176.199997,179.5,176,179.119995,508000,168.754422
"357",177.520004,179.050003,176.039993,178.330002,326200,168.010145
"358",178.360001,178.990005,175.029999,178.630005,231600,168.292788
"359",178.850006,181.720001,177.050003,181.330002,367100,170.836537
"360",177.100006,178.160004,172.369995,172.669998,714400,163.27196
"361",175,176.830002,174.160004,176.270004,497500,166.676026
"362",178.050003,180.300003,177.289993,179.399994,372600,169.635657
"363",179.130005,179.940002,176.360001,177.509995,482000,167.848526
"364",177.029999,179.970001,175.690002,179.300003,332400,169.541109
"365",177.5,179.110001,176.119995,176.839996,688000,167.214994
"366",176.940002,177.039993,173.75,175.490005,617500,165.938481
"367",175.839996,177.380005,174.710007,176.339996,461700,166.742208
"368",173.169998,175.550003,173.169998,173.960007,483000,164.491756
"369",174.039993,176.110001,173.330002,174.089996,517300,164.614671
"370",172.559998,173.210007,168.979996,169.429993,304500,160.208301
"371",169.759995,172.100006,168.770004,170.309998,165800,161.040409
"372",175,177.710007,174.720001,175.729996,378900,166.165409
"373",176.649994,178.059998,175.360001,176.490005,427600,166.884053
"374",181.270004,187.470001,179.710007,186.899994,956100,176.727449
"375",186.899994,189.039993,185.899994,186.300003,416400,176.160114
"376",188.759995,191.839996,186.070007,186.199997,430400,176.065551
"377",189,189.169998,186.5,187.309998,358900,177.115137
"378",187.809998,188.649994,186.169998,186.220001,428900,176.084467
