"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"368",130.509995,130.929993,128.020004,128.509995,4116000,29.940917
"369",128.389999,129.5,127.220001,128.389999,3501600,29.91296
"370",127.900002,129.160004,127.360001,128.070007,2956800,29.838407
"371",127.610001,128.089996,126.190002,126.239998,1036400,29.412042
"372",129.649994,134.490005,129.639999,134.440002,4040800,31.322521
"373",134.139999,134.889999,132.440002,134.229996,3409200,31.273592
"374",138.259995,139.389999,136.860001,138.690002,4788400,32.312707
"375",137.960007,139.550003,137.070007,138.050003,3930400,32.163597
"376",139.660004,141.350006,138.429993,138.570007,4304800,32.28475
"377",140.559998,142,139.600006,140.25,6832000,32.676164
"378",139.479996,140,137.899994,139.210007,5374000,32.433861
"379",138.470001,138.830002,136.020004,137.850006,9048000,32.283974
"380",137.369995,139.559998,134.710007,135.089996,5141200,31.63759
"381",135.889999,136.880005,133.539993,136.649994,2872000,32.002936
"382",134.990005,135.710007,133.190002,135.440002,3350000,31.71956
"383",137.490005,137.929993,130.619995,131.589996,4678400,30.817903
"384",130.699997,131.830002,130.130005,130.399994,4553200,30.539208
"385",131.330002,131.5,129.220001,130.229996,4272800,30.499395
"386",130.919998,131.690002,127.57,128.479996,17291200,30.089552
"387",129.5,131.399994,129.149994,129.490005,4862000,30.326092
"388",131.149994,131.779999,127.82,129.169998,5477200,30.251148
"389",128.949997,129.380005,126.440002,128.369995,4926800,30.06379
"390",128.259995,128.770004,125.550003,126.639999,5100000,29.658631
"391",126.989998,129.119995,126.800003,129.009995,2160000,30.213676
"392",129.029999,130.860001,128.429993,130.559998,1808000,30.576681
"393",130.5,131.179993,128.779999,129.020004,1924800,30.21602
"394",128.429993,129.339996,127,128.669998,2857600,30.13405
"395",128.100006,128.699997,126.940002,126.989998,2550400,29.7406
"396",131.029999,132.970001,129.190002,129.669998,4134800,30.368246
"397",129.729996,135.570007,129.619995,135.380005,5984800,31.705509
"398",135,135.419998,132.240005,135.210007,4047600,31.665696
"399",135.320007,135.350006,133.5,133.669998,2067600,31.305032
"400",133.990005,135.050003,133.169998,134.860001,2593600,31.583726
"401",134.820007,135.490005,132.860001,133.990005,3209600,31.379976
"402",133.729996,133.960007,131,131.720001,5341600,30.848349
"403",131.570007,133.210007,131.029999,132.990005,3753600,31.14578
"404",131.960007,133.070007,131.649994,131.940002,2886800,30.899873
"405",132.990005,133.110001,131.820007,132.669998,3448800,31.070835
"406",132.289993,133.720001,130.360001,133.270004,2466400,31.211355
"407",133.320007,134.509995,131.300003,133.089996,3244400,31.169197
"408",133.059998,134.330002,132.259995,133.529999,2578800,31.272244
"409",133.610001,135.580002,131.649994,132.330002,2331200,30.991209
"410",131.860001,133.720001,130.279999,132.559998,3781200,31.045074
"411",132.600006,134.369995,131.610001,134.220001,2537200,31.43384
"412",134.419998,134.419998,130.509995,131.539993,4257200,30.806192
"413",131.080002,131.800003,130.100006,130.809998,2104000,30.63523
"414",130,131.600006,128.919998,131,2202400,30.679728
"415",131.119995,132.399994,130.940002,131.490005,2432000,30.794485
"416",131.460007,133.059998,130.460007,130.600006,5552400,30.586051
"417",130.009995,131.490005,129.270004,129.960007,3930000,30.436165
"418",130.880005,134,130.720001,133.389999,4043600,31.239457
